Symbol,Datetime,Open,Close,reason,prev_close,gap_pct_raw
APLD,2010-04-14,0.075,0.15,r2_split_like,0.15,-50.0
APLD,2010-05-11,0.065,0.065,r2_split_like,0.13,-50.0
APLD,2010-07-08,0.05,0.05,r2_split_like,0.1,-50.0
APLD,2010-08-17,0.1,0.1,r2_split_like,0.05,100.0
APLD,2010-08-18,0.04,0.04,r2_split_like,0.1,-60.0
APLD,2011-09-16,0.03,0.0203,r2_split_like,0.0203,47.783251231527096
APLD,2011-11-29,0.02,0.02,r2_split_like,0.04,-50.0
APLD,2012-04-20,0.006,0.006,r2_split_like,0.004,50.0
APLD,2013-01-07,0.0025,0.0025,r2_split_like,0.0099,-74.74747474747474
APLD,2013-01-25,0.005,0.005,r2_split_like,0.0025,100.0
APLD,2013-01-28,0.0025,0.0025,r2_split_like,0.005,-50.0
APLD,2014-11-12,0.0149,0.0149,r2_split_like,0.01,49.0
APLD,2014-11-13,0.01,0.01,r2_split_like,0.0149,-32.88590604026845
APLD,2015-04-16,0.0164,0.0164,r2_split_like,0.0082,100.0
APLD,2015-07-10,0.015,0.015,r2_split_like,0.01,49.999999999999986
APLD,2015-07-22,0.01,0.015,r2_split_like,0.0149,-32.88590604026845
APLD,2016-05-20,0.015,0.015,r2_split_like,0.01,49.999999999999986
APLD,2016-08-16,0.0103,0.0103,r2_split_like,0.0154,-33.116883116883116
APLD,2017-01-18,0.0081,0.0081,r2_split_like,0.0121,-33.057851239669425
APLD,2019-08-27,0.0126,0.0126,r2_split_like,0.0188,-32.97872340425532
APLD,2020-07-10,0.0125,0.0125,r2_split_like,0.025,-50.0
APLD,2020-07-27,0.025,0.025,r2_split_like,0.0126,98.41269841269842
APLD,2020-12-14,0.0499,0.0499,r2_split_like,0.025,99.6
APLIF,2022-12-16,0.066,0.066,r2_split_like,0.0445,48.314606741573044
AUGO,2016-02-29,0.116,0.116,r2_split_like,0.0762,52.23097112860893
AUGO,2020-02-06,33.87,37.72,r2_split_like,23.02,47.132927888792345
AZZ,2012-07-31,31.07,30.71,r2_split_like,62.65,-50.40702314445331
BDRAF,2022-06-13,1.08,1.08,r2_split_like,27.0,-96.00000000000001
BEPC,2020-12-14,47.72,49.37,r2_split_like,70.44,-32.254400908574674
BHILQ,2025-04-11,0.0731,0.0733,r2_split_like,0.147,-50.27210884353741
BHILQ,2025-05-13,0.0351,0.0351,r2_split_like,0.07,-49.85714285714286
BHILQ,2025-05-15,0.0351,0.0351,r2_split_like,0.02315,51.61987041036716
BIP,2016-09-15,31.9901,32.85,r2_split_like,47.5802,-32.765940454222545
BLFS,2010-08-25,0.06,0.06,r2_split_like,0.09,-33.33333333333333
BLFS,2010-08-26,0.09,0.09,r2_split_like,0.06,50.0
BLFS,2010-09-13,0.04,0.04,r2_split_like,0.06,-33.33333333333333
BLFS,2010-09-14,0.08,0.08,r2_split_like,0.04,100.0
BLFS,2011-09-13,0.02,0.02,r2_split_like,0.06,-66.66666666666666
BLFS,2011-09-14,0.06,0.06,r2_split_like,0.02,199.99999999999994
BLFS,2011-11-01,0.045,0.045,r2_split_like,0.09,-50.0
BLFS,2011-12-13,0.1,0.1,r2_split_like,0.05,100.0
BLFS,2011-12-30,0.0999,0.05,r2_split_like,0.05,99.8
BLFS,2012-01-24,0.08,0.06,r2_split_like,0.0403,98.51116625310173
BLFS,2013-02-05,0.37,0.271,r2_split_like,0.25,48.0
