ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
CRML,2026-04-17,news_gap,9.27,11.31,12.56,22.0065,35.4908,11.0522,3.6314,8.1629,6.0601,4.3478,99.7143,2026-04-20,13.0,11.94,-8.1538,,,,,True,False,fmp_pr,"[fmp_pr] Greenland Government Approves Transfer of Final 50.5% of Tanbreez, Taking Critical Metals Corp. to 92.5% Ownership",,Basic Materials,Industrial Materials,1105361674.0,925292888.96,925M,66481410.7,1173570804.96,1B-10B,1B-10B
OGN,2026-04-10,news_gap,6.91,8.01,8.83,15.919,27.7858,10.2372,2.0573,3.9773,7.7378,6.9861,100.0,2026-04-13,8.57,8.54,-0.3501,,,,,False,True,fmp_pr,,[fmp_pr] Orogen Royalties Announces Mineral Reserve and Resource Update on Producing Ermitaño Royalty,Healthcare,Drug Manufacturers - General,3495217473.0,348644647.15,349M,21129323.62,2318765611.46,1B-10B,1B-10B
PRAX,2026-03-31,news_gap,276.44,289.2,322.19,4.6158,16.5497,11.4073,1.4072,3.1647,3.2802,5.2294,97.8038,2026-04-01,329.15,319.28,-2.9986,318.83,,-1.0429,,False,True,fmp_pr,,[fmp_pr] Praxis Precision Medicines Announces FDA Acceptance and Priority Review of New Drug Application for Relutrigine in Patients with SCN2A and SCN8A DEEs,Healthcare,Biotechnology,8606185864.0,206288591.3,206M,123913712.71,6811625958.17,1B-10B,1B-10B
KOD,2026-03-26,news_gap,22.75,35.41,39.76,55.6484,74.7692,12.2847,1.8251,4.5111,30.4901,16.5745,100.0,2026-03-27,41.89,37.0,-11.6734,44.11,,10.9406,,True,False,fmp_pr,"[fmp_pr] Kodiak Sciences Announces Positive Topline Results in GLOW2, the Second Phase 3 Study in Diabetic Retinopathy, Demonstrating Superiority of Zenkuda™ (tarcocimab tedromer) Over Sham",,Healthcare,Biotechnology,2090213519.0,524207768.0,524M,13221638.0,2104504672.48,1B-10B,1B-10B
SRPT,2026-03-25,news_gap,17.61,19.76,23.77,12.209,34.9801,20.2935,1.5292,4.0336,7.9838,8.6722,99.4359,2026-03-26,23.15,21.68,-6.3499,20.3,,-14.5982,,True,True,fmp_pr,[fmp_pr] Sarepta Announces First Clinical Data from siRNA Pipeline Targeting FSHD1 and DM1,[fmp_pr] Sarepta to Share First Clinical Data from siRNA Pipeline Targeting FSHD1 and DM1,Healthcare,Biotechnology,2019668880.0,405927421.0,406M,41748004.38,2509541520.0,1B-10B,1B-10B
LWLG,2026-03-12,news_gap,5.02,6.0,7.08,19.5219,41.0359,18.0,3.4433,7.2963,5.6696,5.6242,100.0,2026-03-13,7.04,7.61,8.0966,11.39,,60.8757,,False,True,fmp_pr|pr,,"[fmp_pr] Lightwave Logic and Tower Semiconductor Announce Development Agreement to Enable High-Speed, Low-Power Modulators on Tower's PH18 Silicon Photonics Platform",Basic Materials,Chemicals - Specialty,2399228610.0,223825774.8,224M,7280917.69,1066323798.48,1B-10B,1B-10B
RCAT,2026-03-02,news_gap,11.65,12.69,13.67,8.927,17.3391,7.7226,2.8831,7.4387,3.0963,2.3309,93.0042,2026-03-03,14.61,14.7,0.616,13.09,11.72,-4.2429,-14.2648,True,False,fmp_pr|pr,[fmp_pr] Allen Control Systems Joins Red Cat Futures Initiative to Advance Autonomous Counter-Drone and Precision Defense Capabilities,,Technology,Computer Hardware,1682536243.0,524814580.01,525M,114415598.955,1351372401.32,1B-10B,1B-10B
SGML,2026-02-25,news_gap,12.6,14.91,16.37,18.3333,29.9206,9.7921,4.3751,7.7572,4.1904,3.8571,99.6354,2026-02-26,15.03,16.22,7.9175,9.7,20.71,-40.7453,26.5119,False,True,fmp_pr,,[fmp_pr] INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sigma Lithium Corporation - SGML,Basic Materials,Industrial Materials,2326094202.0,295573446.0,296M,34245753.855,1823666766.23,1B-10B,1B-10B
NKTR,2026-02-10,news_gap,37.07,47.15,56.0,27.1918,51.0656,18.7699,1.6979,4.6122,16.0153,11.0719,99.9506,2026-02-11,59.0,66.35,12.4576,70.36,80.45,25.6429,43.6607,True,True,8k|fmp_pr|pr,[fmp_pr] Nektar Therapeutics Announces Proposed Public Offering || [fmp_pr] New REZOLVE-AD Maintenance Data in Atopic Dermatitis Demonstrate Rezpegaldesleukin Resulted in Durable and New Responses Across Key Disease Measurements with Both Monthly and Quarterly Dosing || [8k] NKTR: 8-K,"[fmp_pr] Nektar to Hold Conference Call to Discuss Topline Results from the 36-Week Maintenance Period for its REZOLVE-AD Phase 2b Study of Rezpegaldesleukin in Atopic Dermatitis on February 10, 2026",Healthcare,Biotechnology,1934783774.0,488404952.0,488M,22376506.04,1094291520.0,1B-10B,1B-10B
BITF,2026-02-06,news_gap,1.71,1.91,2.14,11.6959,25.1462,12.0419,3.7743,6.3921,3.0988,3.934,99.0449,2026-02-09,2.05,2.26,10.2439,2.16,2.1,0.9346,-1.8692,True,False,fmp_pr|pr,[fmp_pr] Bitfarms Announces U.S. Redomiciliation Plan and Intent to Rebrand as Keel Infrastructure,,Financial Services,Financial - Capital Markets,1617688663.0,126771258.84,127M,96294303.1,1290101433.18,1B-10B,1B-10B
