ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
DBD,2026-04-08,news_gap,78.25,84.0,79.81,7.3482,1.9936,-4.9881,1.183,2.2175,6.2113,0.899,99.6983,2026-04-09,79.52,84.51,6.2752,,,,,False,True,fmp_pr,,[fmp_pr] Diebold Nixdorf Set to Join S&P SmallCap 600,Technology,Software - Application,2649233248.0,148039569.0,148M,16786579.8,2763691965.52,1B-10B,1B-10B
SNAP,2026-04-08,news_gap,4.8,5.03,4.73,4.7917,-1.4583,-5.9642,1.5475,3.9981,3.0965,-0.3648,98.6213,2026-04-09,4.71,4.95,5.0955,,,,,False,True,fmp_pr,,"[fmp_pr] INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Snap, Inc. - SNAP",Communication Services,Internet Content & Information,9374825406.0,284264230.58,284M,210680250.96,8004137936.960001,1B-10B,1B-10B
U,2026-03-27,news_gap,17.13,20.23,19.45,18.0969,13.5435,-3.8557,3.9234,6.1573,4.6125,2.1996,100.0,2026-03-30,19.59,20.54,4.8494,26.54,,36.4524,,False,True,8k|fmp_pr,,[fmp_pr] Unity Releases Preliminary First Quarter Results Exceeding Guidance; Will Enhance Growth and Profitability by Exiting Non-Strategic Ad Businesses || [8k] U: 8-K,Technology,Software - Application,11716599319.0,1050870838.05,1.1B,243918227.5,8490605691.65,1B-10B,10B-100B
ZD,2026-03-03,news_gap,28.01,44.76,41.48,59.8001,48.09,-7.328,1.7555,3.2224,34.0635,14.9238,100.0,2026-03-04,41.12,42.98,4.5233,42.21,46.1,1.7599,11.1379,True,False,8k|fmp_pr|pr,"[fmp_pr] Potential Securities Fraud: Levi & Korsinsky Investigates Ziff Davis, Inc. (ZD) || [pr] Ziff Davis Announces Definitive Agreement to Sell Connectivity Division to Accenture || [8k] ZD: 8-K",,Communication Services,Advertising Agencies,1504726090.0,439775108.0,440M,20854843.15,1569481248.8,1B-10B,1B-10B
THR,2026-02-24,news_gap,49.77,58.51,50.48,17.5608,1.4266,-13.7241,0.8711,2.1297,20.1596,0.6698,99.9731,2026-02-25,50.18,53.55,6.7158,51.74,54.18,2.496,7.3296,True,False,8k|fmp_pr,"[fmp_pr] $HAREHOLDER ALERT: The M&A Class Action Firm Announces An Investigation of Thermon Group Holdings, Inc. (NYSE: THR) || [fmp_pr] THR Stock Alert: Halper Sadeh LLC is Investigating Whether Thermon Group Holdings, Inc. is Obtaining a Fair Price for its Shareholders || [8k] THR: 8-K",,Industrials,Industrial - Machinery,2126327955.0,180919562.8,181M,19688527.44,1659252360.0,1B-10B,1B-10B
HIMS,2026-02-05,news_gap,24.4,26.8,23.48,9.8361,-3.7705,-12.3881,1.6059,3.5762,6.1251,-1.0543,99.4212,2026-02-06,22.3,23.02,3.2287,22.16,19.39,-5.6218,-17.4191,True,True,fmp_pr|pr,"[fmp_pr] Hims GLP-1 Weight Loss: What Consumers Should Know About the Reported $49 Compounded Semaglutide Pill, Novo Nordisk Response, and Telehealth Prescription Access in 2026 || [fmp_pr] Novo Nordisk issues statement on illegal mass compounding and deceptive advertising by Hims & Hers || [fmp_pr] Hims & Hers Expands Personalized Weight Loss Portfolio with Access to Compounded Semaglutide Pills Starting at $49/Month*","[pr] Hims & Hers Launches Multi-Cancer Early Detection Testing, Connecting Customers to Cutting-Edge Proactive Care",Healthcare,Medical - Equipment & Services,5495611830.0,1673032180.0,1.7B,492572077.76,5155292280.0,1B-10B,1B-10B
PCVX,2026-01-30,news_gap,52.82,55.25,53.57,4.6005,1.4199,-3.0407,1.511,3.1892,3.0446,0.4452,99.3635,2026-02-02,53.25,57.4,7.7934,59.82,58.5,11.667,9.2029,False,True,pr,,[pr] Vaxcyte Announces Pricing of $550 Million Public Offering,Healthcare,Biotechnology,8537355971.0,282598999.54,283M,45113177.74,7734823643.25,1B-10B,1B-10B
ASM,2026-01-26,news_gap,9.35,10.2,9.34,9.0909,-0.107,-8.4314,2.9414,4.7813,3.0907,-0.0224,99.4056,2026-01-27,9.32,10.36,11.1588,8.89,5.69,-4.818,-39.0792,True,False,pr,[pr] Continued Drilling At La Preciosa Delivers High-Grade Intercepts,,Basic Materials,Other Precious Metals,1657887743.0,173210365.38,173M,37212626.47,1569530960.0,1B-10B,1B-10B
TMC,2026-01-22,news_gap,8.17,9.07,8.32,11.0159,1.836,-8.269,3.0502,6.6304,3.6115,0.2769,98.6486,2026-01-23,8.81,9.44,7.151,6.07,4.68,-27.0433,-43.75,True,True,8k|pr,"[pr] TMC USA Files First Consolidated Deep-Seabed Mining Application, Increasing Expected Commercial Recovery Permit Area to 65,000 km2 || [8k] TMC: 8-K",[pr] TMC Welcomes NOAA Rule Modernizing Deep-Seabed Mining Permits for U.S. Companies in the High Seas,Basic Materials,Industrial Materials,2592595051.0,295648096.64,296M,53774732.59,3598185876.48,1B-10B,1B-10B
IBRX,2026-01-20,news_gap,5.52,6.54,6.48,18.4783,17.3913,-0.9174,3.0288,7.8431,6.1008,2.2174,99.6963,2026-01-21,6.27,6.92,10.3668,8.61,8.47,32.8704,30.7099,True,True,pr,[pr] ImmunityBio Advances Regulatory Discussions with FDA on Potential Resubmission Path for ANKTIVA® in BCG-Unresponsive Papillary Bladder Cancer,[pr] ImmunityBio Advances First-Line BCG Naive NMIBC Program with Enrollment Exceeding Expectations and Positive Interim Analysis for ANKTIVA® Plus BCG || [pr] ImmunityBio Announces Durable Complete Response of 15 Months with a Chemotherapy-Free CD19 CAR-NK Cell Therapy in Waldenstrom Lymphoma,Healthcare,Biotechnology,8687541558.0,1367572474.8,1.4B,25135844.5,6786827993.52,1B-10B,1B-10B
