ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
MAS,2025-05-12,news_gap,62.1,66.58,69.16,7.2142,11.3688,3.875,1.2314,2.364,5.8586,4.809,99.8964,2025-05-13,69.58,68.07,-2.1702,63.86,65.91,-7.6634,-4.6992,False,True,pr,,[pr] Masco Corporation Declares Quarterly Dividend,Industrials,Construction,14081063703.0,407042494.04,407M,155075833.82,13951953662.92,10B-100B,10B-100B
CORT,2025-03-31,news_gap,54.63,94.93,114.22,73.769,109.0793,20.3202,1.3697,3.5863,53.8565,30.4153,100.0,2025-04-01,114.68,91.93,-19.8378,71.88,77.56,-37.0688,-32.096,True,False,pr,[pr] Primary Endpoint Met in Corcept’s Pivotal Phase 3 ROSELLA Trial of Relacorilant in Patients with Platinum-Resistant Ovarian Cancer,,Healthcare,Biotechnology,5492128320.0,1637846268.0,1.6B,53968832.465,12261745440.0,10B-100B,1B-10B
CEG,2025-01-10,news_gap,243.84,282.49,305.19,15.8506,25.1599,8.0357,1.75,3.2257,9.0574,7.7998,100.0,2025-01-13,297.5,279.24,-6.1378,313.58,209.87,2.7491,-31.233,True,False,pr,[pr] Constellation To Acquire Calpine; Creates America’s Leading Producer of Clean and Reliable Energy to Meet Growing Demand for Customers and Communities,,Utilities,Renewable Utilities,104890322051.1757,4488490368.0,4.5B,615526435.0,95307806463.3,10B-100B,100B+
RPRX,2025-01-10,news_gap,26.2,27.55,29.49,5.1527,12.5573,7.0417,0.5511,1.0496,9.3498,11.9642,99.6531,2025-01-13,29.83,29.99,0.5364,32.25,32.68,9.3591,10.8172,True,False,pr,[pr] Royalty Pharma to Highlight Accomplishments and Provide Business Update at 43rd Annual J.P. Morgan Healthcare Conference || [pr] Royalty Pharma Announces Transformative Step in Company’s Evolution With Acquisition of its External Manager and $3 Billion Share Repurchase Program,,Healthcare,Biotechnology,26445400472.0,237879993.87,238M,67068321.0,12684348473.31,10B-100B,10B-100B
FTAI,2024-12-31,news_gap,126.51,136.54,144.04,7.9282,13.8566,5.4929,1.9231,3.0854,4.1227,4.491,99.9174,2025-01-02,145.0,144.44,-0.3862,108.2,113.13,-24.882,-21.4593,False,True,pr,,[pr] FTAI Aviation Launches Strategic Capital Initiative and Announces 2025 Financial Guidance,Industrials,Rental & Leasing Services,28345099912.0,467702057.16,468M,211914087.0,14776051286.88,10B-100B,10B-100B
WBD,2024-12-12,news_gap,10.82,11.4,12.49,5.3604,15.4344,9.5614,1.4351,2.6797,3.7351,5.7598,99.7872,2024-12-13,12.32,12.07,-2.0292,9.79,10.34,-21.6173,-17.2138,True,False,pr,[pr] SPECTRUM AND WARNER BROS. DISCOVERY LAUNCH MAX WITH ADS FOR SPECTRUM TV SELECT CUSTOMERS || [pr] WARNER BROS. DISCOVERY ANNOUNCES NEW CORPORATE STRUCTURE TO ENHANCE STRATEGIC FLEXIBILITY,,Communication Services,Entertainment,68194118294.0,1060510912.0,1.1B,291358067.6,31314137407.98,10B-100B,10B-100B
SMCI,2024-11-19,news_gap,21.54,27.11,28.27,25.8589,31.2442,4.2789,5.8651,7.6329,4.4089,4.0934,100.0,2024-11-20,27.29,25.8,-5.4599,31.24,33.41,10.5058,18.1818,True,True,pr,[pr] Supermicro Showcases Largest Portfolio of HPC-Optimized Multi-Node Systems at SuperComputing 2024,[pr] Supermicro Announces Appointment of BDO USA as Independent Auditor and Filing of Compliance Plan with Nasdaq || [pr] Supermicro Delivers Direct-Liquid-Optimized NVIDIA Blackwell Solutions,Technology,Computer Hardware,19720496220.0,6651447583.0,6.7B,1722211348.5,16933419030.0,10B-100B,10B-100B
COIN,2024-11-11,news_gap,270.74,300.31,324.24,10.9219,19.7607,7.9684,2.7135,6.1635,4.025,3.2061,99.4444,2024-11-12,310.05,319.13,2.9286,313.81,255.37,-3.2168,-21.2404,False,True,pr,,[pr] Coinbase Custody To Provide Custodial Services To iTrustCapital For Retail Client Digital Assets,Financial Services,Financial - Data & Stock Exchanges,54704729127.0,13759935000.0,13.8B,2588384322.0,85424106010.32,10B-100B,10B-100B
EVR,2024-11-06,news_gap,271.84,298.83,316.0,9.9286,16.2448,5.7457,0.7305,1.812,13.592,8.9653,99.9732,2024-11-07,314.25,306.43,-2.4885,297.76,274.32,-5.7722,-13.1899,True,False,pr,"[pr] Evercore Hosts 7th Annual HealthCONx Conference, Dec. 3-5, 2024",,Financial Services,Financial - Capital Markets,13504649292.0,423754420.0,424M,91037666.545,12515306400.0,10B-100B,10B-100B
PH,2024-11-06,news_gap,653.45,682.79,709.46,4.49,8.5714,3.906,0.6396,1.0586,7.0202,8.0969,99.3574,2024-11-07,708.91,689.77,-2.6999,696.16,641.5,-1.8747,-9.5791,True,False,pr,[pr] Parker Scheduled to Present at Robert W. Baird Global Industrial Conference on November 13 at 10:50 a.m. Central Time (11:50 a.m. Eastern Time),,Industrials,Industrial - Machinery,114359745598.5557,1395436874.0,1.4B,347560359.0,89453249539.94,10B-100B,100B+
