Symbol,Description,Price,Price - Currency,Pre-market Change %,Price Change % 1 day,Post-market Change %,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price * Volume (Turnover) 1 day,Price * Volume (Turnover) 1 day - Currency,Price * Volume (Turnover) 1 month,Price * Volume (Turnover) 1 month - Currency,Upcoming earnings date,"Net income growth %, Quarterly QoQ","Revenue growth %, Quarterly QoQ",Industry,Sector
CRM,"Salesforce, Inc.",185.16,USD,0.005396945328954249,-0.07016028927626718,0.27543745949448634,173494923431,USD,24.704469646430955,2002730184.24,USD,37813061724.12,USD,2026-02-25,10.545839957604663,0.2246971473231731,Packaged software,Technology services
ADI,"Analog Devices, Inc.",355.03,USD,-0.008688097306698395,2.8178395598030583,0.11829986198349884,173327123251,USD,64.8527692532515,1896443869.32,USD,24642918099.149998,USD,2026-05-27,5.469705067287515,2.73546162255857,Semiconductors,Electronic technology
SCHW,Charles Schwab Corporation (The),94.03,USD,-0.5113454777884351,0.17044849259613995,0.1063490375412042,167085362086,USD,20.1863420708014,798475773.39,USD,20120024491.72,USD,2026-04-20,4.283290924512299,1.8037210623490982,Investment banks/Brokers,Finance
ANET,"Arista Networks, Inc.",132.79,USD,-1.4355461633753543,-3.2354441448662814,-0.2635740643120674,166855651576,USD,48.22589431632468,1103347196.77,USD,18343481926.489998,USD,2026-05-04,12.05158264947245,7.776285578131093,Computer peripherals,Electronic technology
SCCO,Southern Copper Corporation,201.01,USD,-1.5200700778069711,3.5760292677899717,0.049748768717985545,166046794050,USD,43.589799193303556,201835548.07,USD,6003942102.677286,USD,2026-04-23,13.775038520801234,10.69485414618158,Other metals/Minerals,Non-energy minerals
LOW,"Lowe's Companies, Inc.",280.36,USD,-0.24444604213099677,0.7836652527140725,0.000035668426300077735,157268330776.99997,USD,23.242279792746114,787816926.84,USD,10416008735.04,USD,2026-02-25,-32.58051024675868,-13.130765056972326,Home improvement chains,Retail trade
HON,Honeywell International Inc.,243.97,USD,-0.2035137267932089,1.3290692362005185,0.012296593843505815,155085791346.00003,USD,30.526776776776778,654161640.4,USD,14280005929.67,USD,2026-04-23,-83.83561643835617,-6.245196003074558,Aerospace & defense,Electronic technology
QCOM,QUALCOMM Incorporated,142.88,USD,-0.6087633609400535,1.1396616408296065,-0.1959686450167981,152452965210,USD,29.518221634575657,1466683203.2,USD,25775110072.16,USD,2026-05-06,,8.713398402839397,Semiconductors,Electronic technology
UBER,"Uber Technologies, Inc.",73.86,USD,-0.6032355360570301,1.2613106663010718,-0.0812347684809129,152012446564.00003,USD,15.640352363205148,1495074415.44,USD,27198548519.52,USD,2026-05-06,-95.53274977361907,6.675577337194624,Other transportation,Transportation
PFE,"Pfizer, Inc.",26.65,USD,-0.8190618019359601,-0.7818317200297872,-0.11257035647278643,151524103227.00003,USD,19.666445280791084,1193571124.85,USD,19268106062.399998,USD,2026-05-05,-146.54052527534594,5.42212081181698,Pharmaceuticals: major,Health technology
LMT,Lockheed Martin Corporation,658.26,USD,0.5638024935859889,-1.2377908808570015,0,151452614915.99997,USD,30.637264028000146,952963002,USD,14550102681.84,USD,2026-04-21,-16.9857936998147,9.199849535171154,Aerospace & defense,Electronic technology
DHR,Danaher Corporation,209.5,USD,-1.4816568047337255,-0.8284023668639053,0.023866348448692776,147980230377.00003,USD,41.504873603296616,936693145.5,USD,14025927792,USD,2026-04-28,31.828193832599116,12.968775813646124,Medical specialties,Health technology
SYK,Stryker Corporation,380.23,USD,0.22808994794181447,2.031342242258357,0,145509724874,USD,45.274638915018514,686968385.14,USD,12278834690.710001,USD,2026-05-06,-1.1641443538998837,18.391943206207696,Medical specialties,Health technology
ETN,"Eaton Corporation, PLC",373.38,USD,-0.6148627159970299,-1.0442065090639239,-0.10177299266163037,145020791618,USD,35.70554259266343,970975436.76,USD,17273600530.2,USD,2026-05-05,12.07920792079208,0.9587864911276475,Electrical products,Producer manufacturing
APP,Applovin Corporation,418.68,USD,0.7669902912621419,1.6213592233009726,-0.6401070029616907,141274355635,USD,44.31460959578319,3629075534.64,USD,52168090705.92,USD,2026-05-13,31.921076726970238,17.999352333911016,Packaged software,Technology services
NEM,Newmont Corporation,122.13,USD,-1.8299043062201001,-2.6076555023923524,0.18013592074019397,132862081311,USD,19.12464766677106,1529721484.02,USD,16575406047.449999,USD,2026-04-23,-28.98471615720524,22.137546468401485,Precious metals,Non-energy minerals
ACN,Accenture plc,215.35,USD,-0.8792742498255346,0.18608978832286843,-0.023218017181324796,132506315101.99998,USD,17.80428923392364,1277559783.35,USD,19720416322.55,USD,2026-03-19,56.40868961917674,6.511980386741273,Information technology services,Technology services
PH,Parker-Hannifin Corporation,1022.23,USD,-0.7348583619770114,0.9669708822251158,0,129022320840.00002,USD,37.28398754075879,705454211.99,USD,9959644134.880001,USD,2026-04-30,4.579207920792079,1.770259638080252,Industrial machinery,Producer manufacturing
IBKR,"Interactive Brokers Group, Inc.",74.395,USD,-0.6622516556291322,0.5473712663873512,0,126179025728.84999,USD,33.64614897562299,205851113.79,USD,5497452300.33,USD,2026-04-21,7.984790874524715,-0.43087971274685816,Investment banks/Brokers,Finance
MDT,Medtronic plc.,96.86,USD,-0.5943840951014535,-0.7378561180569777,0.16456741689036247,124175904159,USD,27.013609995537706,696296900.84,USD,13552279160.74,USD,2026-05-20,-16.8,0.6249302533199419,Medical specialties,Health technology
BMY,Bristol-Myers Squibb Company,60.66,USD,0.34825870646766316,0.5970149253731334,0.14836795252226082,123532497660,USD,17.538381472807703,582268667.4,USD,11609525896.38,USD,2026-04-30,-50.613357564743296,2.290950744558992,Pharmaceuticals: major,Health technology
PANW,"Palo Alto Networks, Inc.",148.7,USD,-0.43711504073117197,-1.5166567322339362,0.20134498991258906,121339197509.99998,USD,82.28198317839752,3845061402.7999997,USD,38331127630,USD,2026-05-26,29.34131736526946,4.8504446240905414,Packaged software,Technology services
VRTX,Vertex Pharmaceuticals Incorporated,476.9,USD,-0.4198009674600913,1.6259296353911386,-0.39840637450198724,121148906019,USD,31.09919920703237,480061847,USD,10744975241.3,USD,2026-05-06,9.991688983285622,3.585414393015343,Pharmaceuticals: major,Health technology
GLW,Corning Incorporated,139.51,USD,-0.2307869836141329,7.323640280021526,0.7064009748405146,119692337525,USD,75.86600685192234,1530586531.6,USD,22356176716.44,USD,2026-05-05,25.581395348837212,2.804878048780488,Electronic components,Electronic technology
HCA,"HCA Healthcare, Inc.",532.3,USD,,0.6885332728029332,0,119034098397.99998,USD,18.75339097103318,465699688.59999996,USD,8095038482.599999,USD,2026-04-24,14.30310407790627,1.8370648713532698,Hospital/Nursing management,Health services
MCK,McKesson Corporation,947.48,USD,,1.1033570224299498,-0.050660699962006395,116054406398,USD,27.2534552933224,778791608.28,USD,13267570967.32,USD,2026-05-13,6.846846846846846,2.916141541444498,Medical distributors,Distribution services
AEM,Agnico Eagle Mines Limited,228.26,USD,0.23611172985254203,1.6884216153606235,-0.21760273372470174,114365016068.14072,USD,25.30579659414887,545517204.4399999,USD,8908653855.619999,USD,2026-04-30,48.254826034473794,19.620756051962477,Precious metals,Non-energy minerals
CMCSA,Comcast Corporation,31.34,USD,-0.06373486297004326,-0.12746972594008651,0.4786215698787447,112756493761,USD,5.829829978793854,791089294.4,USD,13070651969.539999,USD,2026-04-23,-34.9639855942377,3.5643310468619784,Cable/Satellite TV,Consumer services
CME,CME Group Inc.,308.09,USD,,1.3754071929189398,0,111097187108.99998,USD,27.612321535800387,848592312.8499999,USD,10708122998.929998,USD,2026-04-29,29.446968857364514,7.225546305931322,Investment banks/Brokers,Finance
BSX,Boston Scientific Corporation,74.58,USD,-0.19809825673534823,-1.5055467511885903,-0.0938589434164564,110668183161,USD,38.459158415841586,939158867.4599999,USD,24390464804.64,USD,2026-04-29,-10.993377483443709,4.3632773938795655,Medical specialties,Health technology
NOW,"ServiceNow, Inc.",104.27,USD,-0.8195957902579953,-2.887212442954278,0.3016207921741724,109066416489,USD,62.45582509733453,1637065901.6599998,USD,37193795305.14,USD,2026-04-29,-20.119521912350596,4.725565013208101,Packaged software,Technology services
CEG,Constellation Energy Corporation,294.84,USD,-0.0068572995954325755,1.0903106356716552,0.1899335232668574,106836885079,USD,33.76391370070083,924024432.2399999,USD,18527194544.039997,USD,2026-02-24,10.846245530393325,20.234309623430963,Electric utilities,Utilities
