ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
DELL,2026-02-27,earnings,2026-02-26,AMC,False,121.45,137.37,148.08,13.1083,21.9267,7.7965,1.399,2.9118,9.3697,7.5304,99.8747,2026-03-02,146.76,153.55,4.6266,164.13,208.95,6.8903,36.0795,Technology,Computer Hardware,161305174411.0,4957066848.0,5.0B,952435536.82,99954262990.08,10B-100B,100B+
KEYS,2026-02-24,earnings,2026-02-23,AMC,False,245.0,277.72,301.48,13.3551,23.0531,8.5554,1.8129,1.9789,7.3669,11.6496,99.9649,2026-02-25,301.48,302.18,0.2322,281.07,340.64,-6.9859,12.7275,Technology,"Hardware, Equipment & Parts",62024059950.0,1853534313.16,1.9B,256664923.23,51704724440.0,10B-100B,10B-100B
GRMN,2026-02-18,earnings,2026-02-18,BMO,False,216.98,251.19,237.46,15.7664,9.4387,-5.466,0.7229,1.6855,21.8108,5.6,100.0,2026-02-19,242.45,239.8,-1.093,232.36,265.49,-3.1026,10.7131,Technology,"Hardware, Equipment & Parts",46701625926.0,724380278.56,724M,214159101.595,45795634676.76,10B-100B,10B-100B
ROKU,2026-02-13,earnings,2026-02-12,AMC,False,82.93,96.55,90.06,16.4235,8.5976,-6.7219,1.2985,2.545,12.6481,3.3783,99.8574,2026-02-17,87.76,88.58,0.9344,95.66,116.19,7.9928,31.1696,Communication Services,Entertainment,18850152164.0,1302357660.0,1.3B,289792458.0,13301299125.0,10B-100B,10B-100B
COIN,2026-02-13,earnings,2026-02-12,AMC,True,141.09,153.7,164.32,8.9376,16.4647,6.9096,2.1572,4.1242,4.143,3.9922,99.2586,2026-02-17,162.48,166.02,2.1787,202.29,206.33,21.8468,24.2802,Financial Services,Financial - Data & Stock Exchanges,54704729127.0,5325631247.04,5.3B,2177646593.3,43291663889.76,10B-100B,10B-100B
AEIS,2026-02-11,earnings,2026-02-10,AMC,False,279.04,299.08,308.77,7.1818,10.6544,3.2399,1.6165,3.0038,4.4429,3.547,99.7531,2026-02-12,312.35,312.95,0.1921,308.31,374.32,-1.4827,19.6102,Industrials,Electrical Equipment & Parts,12908365599.0,446866456.19,447M,162859324.31,11742725961.89,10B-100B,10B-100B
VRT,2026-02-11,earnings,2026-02-11,BMO,False,199.62,233.25,248.51,16.847,24.4915,6.5423,1.9313,3.5309,8.7232,6.9364,99.8415,2026-02-12,243.95,236.51,-3.0498,264.74,301.16,11.9361,27.335,Industrials,Electrical Equipment & Parts,141017869618.0,4918882685.0,4.9B,840623818.0,95454881864.16,10B-100B,100B+
UI,2026-02-06,earnings,2026-02-06,BMO,False,576.0,605.0,622.33,5.0347,8.0434,2.8645,1.3,2.3491,3.8729,3.424,99.2772,2026-02-09,617.57,712.38,15.3521,765.86,925.7,7.5072,29.9447,Technology,Communication Equipment,45354284437.0,151424090.94,151M,59494504.0,37663905730.02,10B-100B,10B-100B
ATI,2026-02-03,earnings,2026-02-03,BMO,False,121.77,128.0,128.34,5.1162,5.3954,0.2656,0.8786,1.6137,5.8229,3.3435,98.9862,2026-02-04,129.05,127.5,-1.2011,150.09,147.28,17.7176,15.5137,Industrials,Manufacturing - Metal Fabrication,21973103451.0,683552059.02,684M,171037490.74,17514614601.18,10B-100B,10B-100B
CIEN,2025-12-11,earnings,2025-12-11,BMO,False,221.85,236.35,242.37,6.5359,9.2495,2.5471,2.0101,3.0174,3.2515,3.0654,99.3764,2025-12-12,236.0,218.44,-7.4407,238.38,303.92,9.1284,39.132,Technology,Communication Equipment,81608102143.0,2086159541.58,2.1B,628579661.0,34270736751.99,10B-100B,10B-100B
ULTA,2025-12-05,earnings,2025-12-04,AMC,False,533.95,578.95,601.5,8.4278,12.651,3.895,0.5189,1.5184,16.2413,8.3315,99.5006,2025-12-08,611.84,589.3,-3.684,657.46,696.25,11.5663,18.1487,Consumer Cyclical,Specialty Retail,28506244590.837,2042453400.0,2.0B,279991180.275,26307585351.0,10B-100B,10B-100B
KEYS,2025-11-25,earnings,2025-11-24,AMC,False,177.67,200.5,195.46,12.8497,10.0129,-2.5137,0.8753,1.8353,14.6807,5.4556,99.9283,2025-11-26,195.0,196.19,0.6103,206.85,221.17,5.4335,12.7326,Technology,"Hardware, Equipment & Parts",62024059950.0,762000810.0,762M,217054077.84,33521976380.0,10B-100B,10B-100B
COHR,2025-11-06,earnings,2025-11-05,AMC,True,134.63,153.7,159.3,14.1647,18.3243,3.6435,3.2929,4.2423,4.3016,4.3194,99.8996,2025-11-07,146.5,154.51,5.4676,192.73,178.06,24.7363,15.2417,Technology,"Hardware, Equipment & Parts",59308679883.0,1720983372.3,1.7B,409724765.58,25261016297.4,10B-100B,10B-100B
PEN,2025-11-06,earnings,2025-11-05,AMC,False,225.54,259.79,264.61,15.1858,17.3229,1.8553,0.7972,2.016,19.0486,8.5929,99.9215,2025-11-07,264.56,266.19,0.6161,287.14,322.44,7.8703,21.1315,Healthcare,Medical - Devices,13327332803.0,294038601.15,294M,88884215.13,10407481754.0,10B-100B,10B-100B
CMI,2025-11-06,earnings,2025-11-06,BMO,False,439.18,461.03,462.8,4.9752,5.3782,0.3839,0.6304,1.6248,7.8925,3.3101,99.6738,2025-11-07,462.8,473.34,2.2774,500.16,552.09,5.6661,16.6371,Industrials,Industrial - Machinery,97221577046.0,824281510.0,824M,339721288.83,63861342058.8,10B-100B,10B-100B
RIVN,2025-11-05,earnings,2025-11-04,AMC,False,12.5,13.34,15.42,6.72,23.36,15.5922,0.9366,2.8478,7.1749,8.2027,98.8048,2025-11-06,15.26,15.22,-0.2621,17.61,19.89,15.703,30.6833,Consumer Cyclical,Auto - Manufacturers,19694507516.0,3047772252.0,3.0B,417533488.08,19375310184.0,10B-100B,10B-100B
U,2025-11-05,earnings,2025-11-05,BMO,False,35.87,42.1,42.36,17.3683,18.0931,0.6176,1.7477,3.8529,9.9376,4.696,100.0,2025-11-06,41.39,39.93,-3.5274,49.04,45.28,22.8149,13.3984,Technology,Software - Application,11716599319.0,1739633998.92,1.7B,304092055.83,18491622472.92,10B-100B,10B-100B
LITE,2025-11-05,earnings,2025-11-04,AMC,False,188.36,218.5,232.75,16.0013,23.5666,6.5217,2.4603,3.8162,6.5038,6.1755,99.884,2025-11-06,243.72,239.68,-1.6576,342.56,348.26,42.9239,45.3021,Technology,Communication Equipment,77206386000.0,2595790925.0,2.6B,443164514.5,18107950000.0,10B-100B,10B-100B
EXPD,2025-11-04,earnings,2025-11-04,BMO,False,122.46,129.89,135.73,6.0673,10.8362,4.4961,0.501,1.2984,12.1096,8.3459,99.9498,2025-11-05,134.17,137.92,2.795,151.47,156.9,9.8245,13.7616,Industrials,Integrated Freight & Logistics,20198074669.0,666685943.42,667M,108394390.0,17752281839.39,10B-100B,10B-100B
ILMN,2025-10-31,earnings,2025-10-30,AMC,False,99.01,106.91,123.54,7.979,24.7753,15.5551,0.696,2.5643,11.4635,9.6615,99.7488,2025-11-03,121.13,119.99,-0.9411,127.95,141.33,6.6339,17.7848,Healthcare,Medical - Diagnostics & Research,22044410000.0,839738442.0,840M,131451941.7,18691602000.0,10B-100B,10B-100B
CNC,2025-10-29,earnings,2025-10-29,BMO,False,33.19,36.6,37.34,10.2742,12.5038,2.0219,2.3477,2.7281,4.3762,4.5833,99.8743,2025-10-30,36.76,35.02,-4.7334,37.89,41.15,8.1953,17.5043,Healthcare,Medical - Healthcare Plans,29287100070.0,1017516082.86,1.0B,321899168.5,18438379980.0,10B-100B,10B-100B
CTSH,2025-10-29,earnings,2025-10-29,BMO,False,67.82,75.18,71.69,10.8523,5.7063,-4.6422,0.3885,1.4258,27.9361,4.0023,99.9749,2025-10-30,71.69,72.19,0.6974,77.43,83.0,7.2586,14.9744,Technology,Information Technology Services,30918663961.0,770925584.0,771M,254047456.0,33971668610.0,10B-100B,10B-100B
ATI,2025-10-28,earnings,2025-10-28,BMO,False,91.71,99.4,98.53,8.3851,7.4365,-0.8753,0.8605,2.421,9.7448,3.0717,99.7235,2025-10-29,100.0,103.0,3.0,100.8,116.17,-2.1359,12.7864,Industrials,Manufacturing - Metal Fabrication,21973103451.0,374715304.74,375M,97340472.28,13446431172.31,10B-100B,10B-100B
REGN,2025-10-28,earnings,2025-10-28,BMO,False,585.31,612.02,654.48,4.5634,11.8177,6.9377,0.7234,1.9607,6.3084,6.0271,99.3967,2025-10-29,650.41,652.91,0.3844,780.19,773.94,19.4943,18.537,Healthcare,Biotechnology,77853177113.412,1391973588.72,1.4B,556749372.87,67425838560.0,10B-100B,10B-100B
AA,2025-10-23,earnings,2025-10-22,AMC,False,35.65,37.69,40.14,5.7223,12.5947,6.5004,1.4391,2.984,3.9763,4.2207,99.3709,2025-10-24,38.48,39.42,2.4428,38.72,53.63,-1.7757,36.0477,Basic Materials,Aluminum,17849511145.0,813966948.0,814M,240573787.0,10592539582.5,10B-100B,10B-100B
GM,2025-10-21,earnings,2025-10-21,BMO,False,58.0,63.76,66.62,9.931,14.8621,4.4856,0.7763,1.3209,12.7935,11.2513,99.9467,2025-10-22,67.05,67.31,0.3878,68.04,83.03,1.0845,23.3546,Consumer Cyclical,Auto - Manufacturers,68923287506.0,2911729228.46,2.9B,482742558.94,60068935290.9,10B-100B,10B-100B
CIEN,2025-09-04,earnings,2025-09-04,BMO,False,94.82,115.0,116.92,21.2824,23.3073,1.6696,1.0255,2.1547,20.7528,10.8168,100.0,2025-09-05,115.86,116.69,0.7164,153.25,182.87,31.3309,56.7144,Technology,Communication Equipment,81608102143.0,1320786780.0,1.3B,148748713.0,16532304084.84,10B-100B,10B-100B
SNOW,2025-08-28,earnings,2025-08-27,AMC,False,200.39,222.0,241.0,10.784,20.2655,8.5586,1.0886,2.0492,9.9063,9.8893,99.5974,2025-08-29,236.93,238.66,0.7302,225.55,269.7,-5.4932,13.0059,Technology,Software - Application,62567848979.0,10162354245.0,10.2B,792735385.485,83313700000.0,10B-100B,10B-100B
PSTG,2025-08-28,earnings,2025-08-27,AMC,False,60.86,69.72,80.54,14.558,32.3365,15.5192,0.9194,2.4151,15.8344,13.3891,99.8391,2025-08-29,78.18,77.61,-0.7291,83.81,97.58,7.9887,25.7312,Technology,Computer Hardware,22130968482.0,1641594388.46,1.6B,115144164.095,26615323302.2,10B-100B,10B-100B
UI,2025-08-22,earnings,2025-08-22,BMO,False,390.57,452.56,510.23,15.8717,30.6373,12.7431,0.9806,2.8768,16.1849,10.6496,99.8564,2025-08-25,513.01,519.89,1.3411,638.56,714.94,22.826,37.5176,Technology,Communication Equipment,45354284437.0,358151866.66,358M,45553541.18,30879524722.620003,10B-100B,10B-100B
DOCS,2025-08-08,earnings,2025-08-07,AMC,False,58.55,63.01,66.58,7.6174,13.7148,5.6658,2.5377,2.4706,3.0017,5.5512,99.2263,2025-08-11,66.13,61.83,-6.5023,69.0,72.57,11.5963,17.3702,Healthcare,Medical - Healthcare Information Services,4968852643.0,345210642.0,345M,95910609.74,12507607145.34,10B-100B,1B-10B
NBIS,2025-08-07,earnings,2025-08-07,BMO,False,55.09,64.37,65.31,16.8452,18.5515,1.4603,3.1119,5.3614,5.4132,3.4602,99.8968,2025-08-08,68.18,68.78,0.88,95.72,122.0,39.1684,77.3771,Communication Services,Internet Content & Information,42986400000.0,2877885150.0,2.9B,506083162.35,15674400000.0,10B-100B,10B-100B
ALAB,2025-08-06,earnings,2025-08-05,AMC,True,135.54,164.99,174.39,21.7279,28.6631,5.6973,2.8619,4.9765,7.5922,5.7597,99.4269,2025-08-07,175.0,170.89,-2.3486,216.1,212.1,26.4556,24.1149,Technology,Semiconductors,35039210890.0,3005560728.12,3.0B,599926938.81,29891830482.21,10B-100B,10B-100B
LDOS,2025-08-05,earnings,2025-08-05,BMO,False,160.95,168.01,172.94,4.3865,7.4495,2.9343,0.5021,1.3063,8.7365,5.7027,99.7448,2025-08-06,175.0,174.49,-0.2914,179.0,198.04,2.5847,13.4965,Technology,Information Technology Services,22692541805.0,383338804.0,383M,111740110.025,21753338490.04,10B-100B,10B-100B
CHRW,2025-07-31,earnings,2025-07-30,AMC,False,97.65,110.47,115.32,13.1285,18.0952,4.3903,0.8199,1.6821,16.0133,10.7575,100.0,2025-08-01,114.18,113.86,-0.2803,128.89,132.66,13.2004,16.5115,Industrials,Integrated Freight & Logistics,21581874891.0,746130663.48,746M,100653161.56,13593119203.44,10B-100B,10B-100B
FTAI,2025-07-30,earnings,2025-07-29,AMC,False,114.14,126.45,144.46,10.785,26.5639,14.2428,1.646,3.2017,6.5524,8.2968,99.961,2025-07-31,147.49,137.61,-6.6988,153.85,166.86,11.8015,21.2557,Industrials,Rental & Leasing Services,28345099912.0,1033993541.16,1.0B,143373208.65,14819136135.12,10B-100B,10B-100B
TER,2025-07-30,earnings,2025-07-29,AMC,False,90.55,105.73,107.65,16.7642,18.8846,1.8159,1.5521,2.3467,10.8012,8.0472,100.0,2025-07-31,108.5,107.43,-0.9862,118.24,137.64,10.0624,28.1206,Technology,Semiconductors,56112537969.0,2136238895.0,2.1B,303576882.585,16851763739.3,10B-100B,10B-100B
CLS,2025-07-29,earnings,2025-07-28,AMC,False,173.37,186.5,202.0,7.5734,16.5138,8.311,1.8206,2.9299,4.1599,5.6363,99.8467,2025-07-30,204.0,202.41,-0.7794,212.33,245.95,4.9009,21.5108,Technology,"Hardware, Equipment & Parts",43007950110.0,2942597428.0,2.9B,540561689.0,23224546000.0,10B-100B,10B-100B
GLW,2025-07-29,earnings,2025-07-29,BMO,False,55.41,58.87,61.98,6.2444,11.8571,5.2828,0.8845,1.2819,7.0601,9.2499,99.8212,2025-07-30,61.8,62.61,1.3107,68.93,80.26,10.0942,28.1904,Technology,"Hardware, Equipment & Parts",170664480698.0,1097885705.04,1.1B,211393231.0,53342332393.5,10B-100B,100B+
FIX,2025-07-25,earnings,2025-07-24,AMC,False,562.83,665.3,688.74,18.2062,22.3709,3.5232,1.2817,1.7949,14.2046,12.4637,100.0,2025-07-28,697.0,692.97,-0.5782,707.39,781.88,2.0809,12.8303,Industrials,Engineering & Construction,71018074226.0,863898290.58,864M,175839265.85,24245317505.76,10B-100B,10B-100B
ROK,2025-05-07,earnings,2025-05-07,BMO,False,253.05,280.0,283.17,10.6501,11.9028,1.1321,1.7543,3.1059,6.0709,3.8323,99.9222,2025-05-08,288.26,291.24,1.0338,324.35,344.95,11.3686,18.4418,Industrials,Industrial - Machinery,50638571920.0,644409969.0,644M,250882700.08,31509458580.0,10B-100B,10B-100B
PWR,2025-05-01,earnings,2025-05-01,BMO,False,292.69,320.21,321.93,9.4024,9.9901,0.5371,2.1046,2.9583,4.4675,3.3769,100.0,2025-05-02,325.23,321.14,-1.2576,356.49,386.51,11.0077,20.3556,Industrials,Engineering & Construction,114917448600.0,1062645215.94,1.1B,327028405.49,48308815800.0,10B-100B,100B+
IDXX,2025-05-01,earnings,2025-05-01,BMO,False,432.65,468.18,471.38,8.2122,8.9518,0.6835,0.9071,2.3323,9.0535,3.8381,99.9481,2025-05-02,478.0,471.9,-1.2762,525.83,547.01,11.4283,15.9165,Healthcare,Medical - Diagnostics & Research,48606490737.0,658753550.0,659M,399279094.39,37183868540.0,10B-100B,10B-100B
STX,2025-04-30,earnings,2025-04-29,AMC,False,81.6,87.14,91.03,6.7892,11.5564,4.4641,1.8369,3.5648,3.696,3.2418,99.5588,2025-05-01,92.0,90.01,-2.163,119.15,151.94,32.3742,68.8035,Technology,Computer Hardware,181355287585.0,1081445594.03,1.1B,338156907.51,20411565141.76,10B-100B,100B+
PNR,2025-04-22,earnings,2025-04-22,BMO,False,78.96,85.13,86.24,7.8141,9.2199,1.3039,1.2377,2.3324,6.3135,3.9529,99.922,2025-04-23,89.02,87.73,-1.4491,97.65,101.23,11.3074,15.3881,Industrials,Industrial - Machinery,15050331274.0,315811569.92,316M,145568331.85,13936861855.839998,10B-100B,10B-100B
GME,2025-03-26,earnings,2025-03-25,AMC,False,25.4,28.84,28.36,13.5433,11.6535,-1.6644,1.9842,3.2049,6.8256,3.6362,99.5558,2025-03-27,25.87,22.09,-14.6115,27.59,31.21,24.8981,41.2856,Consumer Cyclical,Specialty Retail,11110634277.0,1511955403.8,1.5B,87677574.275,12715915000.0,10B-100B,10B-100B
RBRK,2025-03-14,earnings,2025-03-13,AMC,False,55.28,67.8,70.64,22.6483,27.7858,4.1888,2.2391,3.4674,10.1149,8.0135,100.0,2025-03-17,70.0,70.84,1.2,63.31,85.52,-10.6296,20.7228,Technology,Software - Infrastructure,12231033486.0,513787183.52,514M,122794239.655,14288080129.6,10B-100B,10B-100B
ULTA,2025-03-14,earnings,2025-03-13,AMC,False,314.47,342.2,357.48,8.818,13.677,4.4652,1.0122,1.9264,8.7114,7.0997,99.5551,2025-03-17,351.74,356.99,1.4926,358.09,411.74,0.3081,15.3366,Consumer Cyclical,Specialty Retail,28506244590.837,1206175412.88,1.2B,360538741.2,15634971922.320002,10B-100B,10B-100B
AXON,2025-02-26,earnings,2025-02-25,AMC,False,496.65,584.95,572.4,17.7791,15.2522,-2.1455,1.0214,3.2591,17.4066,4.6798,99.9475,2025-02-27,575.0,525.44,-8.6191,534.95,611.13,1.8099,16.3082,Industrials,Aerospace & Defense,44947123744.0,1624471200.0,1.6B,378388131.62,46136628874.8,10B-100B,10B-100B
JBL,2024-12-18,earnings,2024-12-18,BMO,False,133.96,148.17,143.69,10.6076,7.2634,-3.0236,1.4705,2.1029,7.2138,3.454,99.9734,2024-12-19,145.27,140.44,-3.3248,171.24,159.1,21.9311,13.2868,Technology,"Hardware, Equipment & Parts",37010452400.0,684697219.0,685M,123352793.89,15159726070.0,10B-100B,10B-100B
OKTA,2024-12-04,earnings,2024-12-03,AMC,False,81.71,91.0,86.11,11.3695,5.3849,-5.3736,0.8934,1.6625,12.7264,3.239,99.7404,2024-12-05,87.27,83.52,-4.297,84.66,97.0,1.3649,16.1398,Technology,Software - Infrastructure,14120326929.0,1815508796.0,1.8B,165572224.09,14569812000.0,10B-100B,10B-100B
PSTG,2024-12-04,earnings,2024-12-03,AMC,True,53.54,62.66,65.35,17.034,22.0583,4.293,1.2147,2.455,14.0227,8.9849,100.0,2024-12-05,65.27,62.56,-4.152,62.93,69.07,0.5914,10.406,Technology,Computer Hardware,22130968482.0,866364555.0,866M,121315290.94,21595621775.5,10B-100B,10B-100B
CRDO,2024-12-03,earnings,2024-12-02,AMC,False,47.8,64.44,70.69,34.8117,47.887,9.6989,1.4084,3.7495,24.7166,12.7715,100.0,2024-12-04,72.11,69.01,-4.299,76.64,79.64,11.0564,15.4036,Technology,Communication Equipment,36626224586.0,1175901853.32,1.2B,120661448.91,13038766258.6,10B-100B,10B-100B
SNOW,2024-11-21,earnings,2024-11-20,AMC,False,129.12,161.26,171.35,24.8916,32.706,6.257,0.9669,2.1034,25.7441,15.5493,100.0,2024-11-22,175.0,167.44,-4.32,163.06,188.02,-2.6159,12.291,Technology,Software - Application,62567848979.0,9445086160.0,9.4B,589497714.705,59235695000.0,10B-100B,10B-100B
WSM,2024-11-20,earnings,2024-11-20,BMO,False,137.24,172.02,175.04,25.3425,27.543,1.7556,1.2543,2.0491,20.2045,13.4416,100.0,2024-11-21,176.06,172.49,-2.0277,186.52,211.64,8.1338,22.697,Consumer Cyclical,Specialty Retail,24550640000.0,1476094816.0,1.5B,232645838.365,20832560640.0,10B-100B,10B-100B
RKLB,2024-11-13,earnings,2024-11-12,AMC,False,14.66,19.24,18.83,31.2415,28.4447,-2.131,1.7702,4.8332,17.649,5.8853,100.0,2024-11-14,19.43,17.36,-10.6536,25.9,24.0,49.1935,38.2488,Industrials,Aerospace & Defense,68037963681.0,2278454479.0,2.3B,124921303.79,10897880840.419998,10B-100B,10B-100B
ALAB,2024-11-05,earnings,2024-11-04,AMC,False,69.65,86.35,95.91,23.977,37.7028,11.0712,2.4876,4.847,9.6388,7.7785,99.3865,2024-11-06,90.0,98.17,9.0778,120.4,130.77,22.6444,33.2077,Technology,Semiconductors,35039210890.0,2374437252.21,2.4B,201530684.96,16439735429.49,10B-100B,10B-100B
