ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
BCRX,2021-05-06,earnings,2021-05-06,BMO,False,10.68,11.31,12.92,5.8989,20.9738,14.2352,1.9368,5.0535,3.0457,4.1504,98.3176,2021-05-07,12.69,13.12,3.3885,17.04,16.25,29.878,23.8567,Healthcare,Biotechnology,2161901390.0,232864782.8,233M,29147630.385,2711826759.04,1B-10B,1B-10B
SEM,2021-02-26,earnings,2021-02-25,AMC,False,26.7201,30.9599,31.65,15.8675,18.4502,2.229,0.9228,2.3362,17.195,7.8975,100.0,2021-03-01,32.5,32.98,1.4769,34.1099,37.9901,3.426,15.1913,Healthcare,Medical - Care Facilities,2040079650.0,131782687.5,132M,19339699.421,3925138050.0,1B-10B,1B-10B
SONO,2021-02-11,earnings,2021-02-10,AMC,False,31.5,37.0,36.44,17.4603,15.6825,-1.5135,2.6426,4.6406,6.6072,3.3795,99.685,2021-02-12,35.5,35.48,-0.0563,42.25,43.89,19.0812,23.7035,Technology,Consumer Electronics,1752387590.0,403708192.4,404M,63642804.81,4341060760.0,1B-10B,1B-10B
SNA,2021-02-04,earnings,2021-02-04,BMO,False,177.32,188.75,188.86,6.446,6.508,0.0583,0.9075,1.6901,7.1027,3.8506,99.9283,2021-02-05,190.0,184.37,-2.9632,217.53,234.36,17.9856,27.114,Industrials,Manufacturing - Tools & Accessories,19393184719.0,424689482.0,425M,80384262.0,9783309855.76,1B-10B,10B-100B
AOS,2021-01-28,earnings,2021-01-28,BMO,False,53.19,55.48,56.91,4.3053,6.9938,2.5775,0.7699,1.7161,5.592,4.0754,99.6766,2021-01-29,56.32,54.3,-3.5866,60.92,67.61,12.1915,24.512,Industrials,Industrial - Machinery,9743907412.0,199293129.0,199M,60719849.0,7950713703.45,1B-10B,1B-10B
AMBA,2020-11-24,earnings,2020-11-23,AMC,False,66.37,70.975,76.51,6.9384,15.278,7.7985,1.4378,3.3632,4.8255,4.5426,99.2658,2020-11-25,77.32,75.95,-1.7719,95.41,100.05,25.6221,31.7314,Technology,Semiconductors,3423852449.0,339232027.26,339M,18588273.63,3350287132.2900004,1B-10B,1B-10B
SONO,2020-11-19,earnings,2020-11-18,AMC,False,17.09,20.25,22.19,18.4903,29.842,9.5802,1.6056,2.9928,11.516,9.9712,99.8273,2020-11-20,21.62,20.94,-3.1452,25.26,27.59,20.6304,31.7574,Technology,Consumer Electronics,1752387590.0,993739185.81,994M,39400362.525,2643472510.0,1B-10B,1B-10B
AZTA,2020-11-11,earnings,2020-11-10,AMC,False,59.43,66.99,66.6,12.7208,12.0646,-0.5822,1.318,2.8206,9.6516,4.2773,99.9634,2020-11-12,67.38,65.09,-3.3986,75.07,79.69,15.3326,22.4305,Healthcare,Medical - Instruments & Supplies,1065403087.0,123363180.0,123M,16500282.0,3067695899.9999995,1B-10B,1B-10B
ADEA,2020-11-10,earnings,2020-11-09,AMC,False,22.8645,28.2203,28.4286,23.4241,24.3351,0.7381,1.1433,2.6828,20.4874,9.0707,99.9634,2020-11-11,28.4286,28.7571,1.1555,32.0563,35.0599,11.4726,21.9174,Technology,Software - Application,3438966920.0,424786054.3488,425M,24412291.7512,3135504008.4,1B-10B,1B-10B
HWM,2020-11-09,earnings,2020-11-09,BMO,False,18.85,20.08,22.43,6.5252,18.992,11.7032,1.4401,2.6585,4.5311,7.1439,99.4065,2020-11-10,22.55,23.0,1.9956,26.13,28.87,13.6087,25.5217,Industrials,Industrial - Machinery,107932994614.0,219351942.0,219M,37400361.5,8974410843.69,1B-10B,100B+
