ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
AGX,2026-03-27,earnings,2026-03-26,AMC,False,410.85,505.6,566.62,23.0619,37.9141,12.0688,1.6274,4.4406,14.1711,8.538,99.9755,2026-03-30,570.57,513.98,-9.9182,630.07,,22.5865,,Industrials,Engineering & Construction,9507216270.0,1115861197.98,1.1B,184389466.025,7910278678.3,1B-10B,1B-10B
NAVN,2026-03-26,earnings,2026-03-25,AMC,False,9.15,11.26,13.11,23.0601,43.2787,16.4298,1.9211,5.0984,12.0038,8.4887,100.0,2026-03-27,12.8,12.21,-4.6094,16.15,,32.2686,,Technology,Software - Application,4353587172.0,278772351.0,279M,12247191.56,3086832224.1,1B-10B,1B-10B
BW,2026-03-04,earnings,2026-03-04,BMO,False,8.1,9.73,11.8,20.1235,45.679,21.2744,2.1942,7.0078,9.171,6.5183,99.812,2026-03-05,12.01,13.29,10.6578,16.75,15.46,26.0346,16.3281,Industrials,Industrial - Machinery,2259139912.0,224701500.0,225M,19009041.5,1349764605.8000002,1B-10B,1B-10B
PCOR,2026-02-13,earnings,2026-02-12,AMC,False,47.88,52.45,52.34,9.5447,9.315,-0.2097,1.0112,2.7354,9.4385,3.4053,99.8316,2026-02-17,52.42,52.21,-0.4006,58.74,55.44,12.5072,6.1866,Technology,Software - Application,8812398992.0,318085882.0,318M,154480001.75,7897582600.000001,1B-10B,1B-10B
FSLY,2026-02-12,earnings,2026-02-11,AMC,False,9.31,13.49,16.04,44.898,72.2879,18.9029,1.8933,3.5985,23.7147,20.0883,100.0,2026-02-13,16.09,18.26,13.4866,24.18,24.88,32.4206,36.2541,Technology,Software - Application,3313794055.0,1868526868.0,1.9B,29833566.86,2510260000.0,1B-10B,1B-10B
IRDM,2026-02-12,earnings,2026-02-12,BMO,True,18.46,19.2,22.39,4.0087,21.2893,16.6146,1.3118,3.0353,3.056,7.0139,99.0866,2026-02-13,22.48,23.17,3.0694,26.24,43.41,13.2499,87.3543,Communication Services,Telecommunications Services,4404617815.0,142709382.0,143M,43220483.94,2367244188.16,1B-10B,1B-10B
HNGE,2026-02-11,earnings,2026-02-10,AMC,False,32.98,38.5,38.76,16.7374,17.5258,0.6753,1.1281,2.9682,14.8365,5.9044,100.0,2026-02-12,38.89,39.47,1.4914,43.33,41.47,9.7796,5.0671,Healthcare,Medical - Healthcare Information Services,4272948559.0,227406431.64,227M,35217357.625,2999266319.52,1B-10B,1B-10B
HXL,2026-01-29,earnings,2026-01-28,AMC,False,80.23,83.99,84.56,4.6865,5.397,0.6787,0.7196,1.6418,6.513,3.2873,99.4308,2026-01-30,84.45,82.81,-1.942,91.93,82.59,11.0132,-0.2657,Industrials,Aerospace & Defense,6973244640.0,301400421.28,301M,92795625.5,6378124032.0,1B-10B,1B-10B
VIAV,2026-01-29,earnings,2026-01-28,AMC,False,21.03,23.01,24.7,9.4151,17.4513,7.3446,1.1971,2.8254,7.8647,6.1766,99.8268,2026-01-30,24.26,24.46,0.8244,33.04,35.3,35.0777,44.3173,Technology,Communication Equipment,12490680258.0,385967140.0,386M,71307298.225,5777524389.0,1B-10B,10B-100B
NEOG,2026-01-08,earnings,2026-01-08,BMO,False,7.38,9.24,9.71,25.2033,31.5718,5.0866,0.8182,2.9037,30.8046,10.8731,100.0,2026-01-09,9.98,9.62,-3.6072,10.73,9.35,11.5385,-2.8067,Healthcare,Medical - Diagnostics & Research,2110002020.0,223300083.49,223M,22292688.555,2113605228.11,1B-10B,1B-10B
