ticker,event_date,event_type,earnings_date,time_of_day,tod_inferred,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
FIVN,2026-05-01,earnings,2026-04-30,AMC,False,17.2,20.18,22.24,17.3256,29.3023,10.2081,1.6232,3.8647,10.6735,7.5821,99.9012,2026-05-04,22.28,23.34,4.7576,,,,,Technology,Software - Infrastructure,1602484269.0,340328200.48,340M,31963226.5,1702783093.12,1B-10B,1B-10B
BAND,2026-04-30,earnings,2026-04-30,BMO,False,24.2,30.96,36.81,27.9339,52.1074,18.8953,2.6364,3.902,10.5956,13.3539,99.8188,2026-05-01,37.66,44.86,19.1184,,,,,Technology,Software - Infrastructure,1582935757.0,153011808.0,153M,8252815.12,1178557070.67,1B-10B,1B-10B
GTX,2026-04-30,earnings,2026-04-30,BMO,False,20.49,22.14,25.61,8.0527,24.9878,15.673,2.2904,2.5495,3.5158,9.8011,99.4247,2026-05-01,25.6,25.87,1.0547,,,,,Consumer Cyclical,Auto - Parts,5535178730.0,188041553.05,188M,35534340.26,4793910290.0,1B-10B,1B-10B
MYRG,2026-04-30,earnings,2026-04-29,AMC,False,337.76,363.68,404.81,7.6741,19.8514,11.3094,1.6041,2.7222,4.7842,7.2924,99.8051,2026-05-01,410.9,433.49,5.4977,,,,,Industrials,Engineering & Construction,7089009170.0,287399312.41,287M,82094665.94,6303296510.0,1B-10B,1B-10B
EXTR,2026-04-29,earnings,2026-04-29,BMO,False,17.05,18.05,21.85,5.8651,28.1525,21.0526,1.0869,2.2277,5.3962,12.6374,99.2445,2026-04-30,21.88,22.09,0.9598,,,,,Technology,Communication Equipment,2980432626.0,181633369.0,182M,32878376.31,2857501222.8,1B-10B,1B-10B
KNSA,2026-04-28,earnings,2026-04-28,BMO,False,43.61,47.2,53.85,8.2321,23.4809,14.089,1.4387,2.2748,5.722,10.3223,99.4975,2026-04-29,53.91,52.99,-1.7065,,,,,Healthcare,Biotechnology,4471198857.0,163214180.4,163M,29682714.235,4047983497.95,1B-10B,1B-10B
MXL,2026-04-24,earnings,2026-04-23,AMC,False,34.25,54.0,60.32,57.6642,76.1168,11.7037,2.0508,4.673,28.1185,16.2886,100.0,2026-04-27,60.94,51.65,-15.2445,,,,,Technology,Semiconductors,8231960011.0,1751935708.64,1.8B,24579342.83,5401412246.88,1B-10B,1B-10B
AGX,2026-03-27,earnings,2026-03-26,AMC,False,410.85,505.6,566.62,23.0619,37.9141,12.0688,1.6274,4.4406,14.1711,8.538,99.9755,2026-03-30,570.57,513.98,-9.9182,630.07,,22.5865,,Industrials,Engineering & Construction,9507216270.0,1115861197.98,1.1B,184389466.025,7910278678.3,1B-10B,1B-10B
NAVN,2026-03-26,earnings,2026-03-25,AMC,False,9.15,11.26,13.11,23.0601,43.2787,16.4298,1.9211,5.0984,12.0038,8.4887,100.0,2026-03-27,12.8,12.21,-4.6094,16.15,,32.2686,,Technology,Software - Application,4353587172.0,278772351.0,279M,12247191.56,3086832224.1,1B-10B,1B-10B
SIG,2026-03-19,earnings,2026-03-19,BMO,False,78.77,82.01,89.56,4.1132,13.6981,9.2062,1.1834,2.8283,3.4757,4.8432,98.3313,2026-03-20,88.12,89.05,1.0554,95.91,,7.7035,,Consumer Cyclical,Luxury Goods,3727101629.0,270086092.0,270M,85086957.485,3643698983.76,1B-10B,1B-10B
