timestamp,symbol,sec_type,expiry,right,strike,what_to_show,open,high,low,close,volume,bar_count,wap,contract_con_id,local_symbol
2026-04-15T13:30:00+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:30:10+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:30:20+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:30:30+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:30:40+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:30:50+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:31:00+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:31:10+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:31:20+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:31:30+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:31:40+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:31:50+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:32:00+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:32:10+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:32:20+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
2026-04-15T13:32:30+00:00,LWLG,OPT,20260618,C,20.0,BID,0.55,0.55,0.55,0.55,-1.0,-1,-1.0,872916649,LWLG  260618C00020000
