timestamp,underlying_close,expiry,right,strike,option_bid,option_ask,option_mid,option_last,option_volume,seconds_to_expiry,iv_from_mid,model_price_from_mid_iv,risk_free_rate,dividend_yield,model_price_from_prev_iv,source_flags
2026-05-15 13:30:00+00:00,14.0221,20260618,C,15.0,2.0,2.4,2.2,2.3,3.0,2961000.0,1.5006448772568621,2.200000000000002,0.045,0.0,,quote_mid;trade_last;iv_solved
2026-05-15 13:30:00+00:00,14.0221,20260618,C,20.0,0.8,1.3,1.05,1.3,10.0,2961000.0,1.5537087583151221,1.0499999999999998,0.045,0.0,,quote_mid;trade_last;iv_solved
2026-05-15 13:30:10+00:00,14.2788,20260618,C,15.0,2.1,2.4,2.25,2.4,1.0,2960990.0,1.44877527919874,2.25,0.045,0.0,2.339818775475277,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:30:10+00:00,14.2788,20260618,C,20.0,0.85,1.1,0.9750000000000001,1.3,0.0,2960990.0,1.4527881160781941,0.9750000000000005,0.045,0.0,1.1310310757886444,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:30:20+00:00,14.225,20260618,C,15.0,2.1,2.5,2.3,2.4,0.0,2960980.0,1.4947473236369668,2.299999999999999,0.045,0.0,2.2206064541564814,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:30:20+00:00,14.225,20260618,C,20.0,0.85,1.1,0.9750000000000001,1.3,0.0,2960980.0,1.4634125952356083,0.9750000000000019,0.045,0.0,0.9589439516334224,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:30:30+00:00,14.23,20260618,C,15.0,2.1,2.5,2.3,2.4,0.0,2960970.0,1.493160278400968,2.3000000000000007,0.045,0.0,2.302739887936599,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:30:30+00:00,14.23,20260618,C,20.0,0.85,1.1,0.9750000000000001,1.3,0.0,2960970.0,1.4624266165367454,0.975000000000001,0.045,0.0,0.9764937196732149,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:30:40+00:00,14.09,20260618,C,15.0,2.05,2.5,2.275,2.4,0.0,2960960.0,1.5230782135042746,2.2749999999999986,0.045,0.0,2.22375146529163,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:30:40+00:00,14.09,20260618,C,20.0,0.85,1.1,0.9750000000000001,1.3,0.0,2960960.0,1.490209482676399,0.9750000000000019,0.045,0.0,0.9336124917982156,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:30:50+00:00,14.08,20260618,C,15.0,2.05,2.5,2.275,2.4,0.0,2960950.0,1.526252761549034,2.2750000000000012,0.045,0.0,2.269567326452689,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:30:50+00:00,14.08,20260618,C,20.0,0.85,1.1,0.9750000000000001,1.3,0.0,2960950.0,1.4922046171961059,0.975000000000001,0.045,0.0,0.9720166324946335,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:00+00:00,14.005,20260618,C,15.0,2.0,2.5,2.25,2.4,0.0,2960940.0,1.5353762458144158,2.25,0.045,0.0,2.234454199827545,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:00+00:00,14.005,20260618,C,20.0,0.9,1.1,1.0,1.3,0.0,2960940.0,1.523956690913184,1.0000000000000009,0.045,0.0,0.952786867688622,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:10+00:00,14.0,20260618,C,15.0,2.0,2.5,2.25,2.4,0.0,2960930.0,1.5369612026336692,2.249999999999999,0.045,0.0,2.2473004511022907,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:10+00:00,14.0,20260618,C,20.0,0.9,1.1,1.0,1.3,0.0,2960930.0,1.5249672340729843,1.0000000000000013,0.045,0.0,0.998490023206998,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:20+00:00,13.7901,20260618,C,15.0,1.9,2.5,2.2,2.4,0.0,2960920.0,1.573719003947609,2.2,0.045,0.0,2.13819117402086,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:20+00:00,13.7901,20260618,C,20.0,0.85,1.1,0.9750000000000001,1.3,0.0,2960920.0,1.5504764851284842,0.9750000000000014,0.045,0.0,0.9379232783178058,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:30+00:00,13.8485,20260618,C,15.0,1.9,2.5,2.2,2.4,0.0,2960910.0,1.55531343074203,2.200000000000002,0.045,0.0,2.2310538022002797,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:30+00:00,13.8485,20260618,C,20.0,0.85,1.1,0.9750000000000001,1.3,0.0,2960910.0,1.538662622405559,0.975000000000001,0.045,0.0,0.9923689694795472,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:40+00:00,13.7712,20260618,C,15.0,1.9,2.5,2.2,2.4,0.0,2960900.0,1.5796853714387766,2.1999999999999993,0.045,0.0,2.159075313579013,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:40+00:00,13.7712,20260618,C,20.0,0.85,1.1,0.9750000000000001,0.85,4.0,2960900.0,1.5543147631217211,0.9750000000000005,0.045,0.0,0.9522458043202566,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:50+00:00,13.8582,20260618,C,15.0,1.9,2.5,2.2,2.4,0.0,2960890.0,1.5522626804832402,2.200000000000002,0.045,0.0,2.2462926446597153,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:31:50+00:00,13.8582,20260618,C,20.0,0.85,1.1,0.9750000000000001,0.85,0.0,2960890.0,1.5367091461918263,0.9749999999999996,0.045,0.0,1.0009307184301832,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:32:00+00:00,13.838,20260618,C,15.0,1.9,2.5,2.2,1.9,3.0,2960880.0,1.5586300332102554,2.2,0.045,0.0,2.1892618729438436,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:32:00+00:00,13.838,20260618,C,20.0,0.85,0.95,0.8999999999999999,0.85,0.0,2960880.0,1.4891476802673296,0.9000000000000012,0.045,0.0,0.9690190840685533,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:32:10+00:00,13.9994,20260618,C,15.0,1.9,2.5,2.2,1.9,0.0,2960870.0,1.5078190248151162,2.2,0.045,0.0,2.2865447299420314,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:32:10+00:00,13.9994,20260618,C,20.0,0.9,1.1,1.0,0.95,3.0,2960870.0,1.5251038428744965,1.0000000000000009,0.045,0.0,0.9466009201422656,quote_mid;trade_last;iv_solved;prev_iv_model
2026-05-15 13:32:20+00:00,13.925,20260618,C,15.0,1.9,2.5,2.2,1.9,0.0,2960860.0,1.5312343638415906,2.200000000000001,0.045,0.0,2.1602767191631234,quote_mid;trade_last;iv_solved;prev_iv_model
