timestamp,symbol,sec_type,expiry,right,strike,what_to_show,open,high,low,close,volume,bar_count,wap,contract_con_id,local_symbol
2026-05-15T13:30:00+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.35,2.35,2.3,2.3,3.0,2,2.335,863931261,LWLG  260618C00015000
2026-05-15T13:30:10+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,1.0,1,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:30:20+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,0.0,0,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:30:30+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,0.0,0,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:30:40+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,0.0,0,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:30:50+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,0.0,0,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:31:00+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,0.0,0,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:31:10+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,0.0,0,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:31:20+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,0.0,0,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:31:30+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,0.0,0,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:31:40+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,0.0,0,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:31:50+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.4,2.4,2.4,2.4,0.0,0,2.4,863931261,LWLG  260618C00015000
2026-05-15T13:32:00+00:00,LWLG,OPT,20260618,C,15.0,TRADES,1.9,1.9,1.9,1.9,3.0,1,1.9,863931261,LWLG  260618C00015000
2026-05-15T13:32:10+00:00,LWLG,OPT,20260618,C,15.0,TRADES,1.9,1.9,1.9,1.9,0.0,0,1.9,863931261,LWLG  260618C00015000
2026-05-15T13:32:20+00:00,LWLG,OPT,20260618,C,15.0,TRADES,1.9,1.9,1.9,1.9,0.0,0,1.9,863931261,LWLG  260618C00015000
2026-05-15T13:32:30+00:00,LWLG,OPT,20260618,C,15.0,TRADES,1.9,1.9,1.9,1.9,0.0,0,1.9,863931261,LWLG  260618C00015000
2026-05-15T13:32:40+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,1.0,1,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:32:50+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:33:00+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:33:10+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:33:20+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:33:30+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:33:40+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:33:50+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:34:00+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:34:10+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:34:20+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:34:30+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:34:40+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:34:50+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:35:00+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.5,2.5,2.5,2.5,0.0,0,2.5,863931261,LWLG  260618C00015000
2026-05-15T13:35:10+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.2,2.25,2.2,2.2,2.0,2,2.2,863931261,LWLG  260618C00015000
2026-05-15T13:35:20+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.2,2.25,2.2,2.2,0.0,0,2.2,863931261,LWLG  260618C00015000
2026-05-15T13:35:30+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.2,2.25,2.2,2.2,0.0,0,2.2,863931261,LWLG  260618C00015000
2026-05-15T13:35:40+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.2,2.25,2.2,2.2,0.0,0,2.2,863931261,LWLG  260618C00015000
2026-05-15T13:35:50+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.25,2.25,2.2,2.25,1.0,1,2.25,863931261,LWLG  260618C00015000
2026-05-15T13:36:00+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.25,2.25,2.2,2.25,0.0,0,2.25,863931261,LWLG  260618C00015000
2026-05-15T13:36:10+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.25,2.25,2.2,2.25,0.0,0,2.25,863931261,LWLG  260618C00015000
2026-05-15T13:36:20+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.25,2.25,2.2,2.25,0.0,0,2.25,863931261,LWLG  260618C00015000
2026-05-15T13:36:30+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.25,2.25,2.2,2.25,0.0,0,2.25,863931261,LWLG  260618C00015000
2026-05-15T13:36:40+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.25,2.25,2.2,2.25,0.0,0,2.25,863931261,LWLG  260618C00015000
2026-05-15T13:36:50+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.25,2.25,2.2,2.25,0.0,0,2.25,863931261,LWLG  260618C00015000
2026-05-15T13:37:00+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.2,2.2,2.2,2.2,1.0,1,2.2,863931261,LWLG  260618C00015000
2026-05-15T13:37:10+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.45,2.45,2.45,2.45,1.0,1,2.45,863931261,LWLG  260618C00015000
2026-05-15T13:37:20+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.45,2.45,2.45,2.45,0.0,0,2.45,863931261,LWLG  260618C00015000
2026-05-15T13:37:30+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.45,2.45,2.45,2.45,0.0,0,2.45,863931261,LWLG  260618C00015000
2026-05-15T13:37:40+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.45,2.45,2.45,2.45,0.0,0,2.45,863931261,LWLG  260618C00015000
2026-05-15T13:37:50+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.45,2.45,2.45,2.45,0.0,0,2.45,863931261,LWLG  260618C00015000
2026-05-15T13:38:00+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.45,2.45,2.45,2.45,0.0,0,2.45,863931261,LWLG  260618C00015000
2026-05-15T13:38:10+00:00,LWLG,OPT,20260618,C,15.0,TRADES,2.45,2.45,2.45,2.45,0.0,0,2.45,863931261,LWLG  260618C00015000
