ticker,inst_pct,insider_pct,float_pct
ENSG,94.9,3.53,95.55
ENVX,50.75,11.35,86.34
EOLS,70.39,14.68,75.99
EOSE,60.3,1.22,93.88
EPAC,104.69,1.37,97.85
EPAM,119.34,3.24,96.28
EQX,67.54,4.49,96.24
ERAS,85.32,9.69,71.34
ERII,98.41,2.08,96.19
ESE,99.23,0.38,99.41
ESTC,88.69,12.32,79.51
ETSY,124.55,1.35,87.05
EVGO,68.7,5.63,94.42
EVTL,84.7,3.75,38.55
EXEL,106.67,1.82,81.34
EXK,61.32,0.16,99.8
EYPT,111.95,3.68,84.05
FCEL,34.21,4.76,80.55
FCX,88.32,0.69,96.82
FIG,84.9,1.82,53.44
FIVN,103.2,2.91,89.38
FIX,96.88,1.16,102.1
FLGT,63.41,36.66,61.85
FLNC,85.26,14.46,75.53
FLR,95.2,2.29,98.43
FLS,105.79,0.6,99.29
FLY,60.58,20.4,59.37
FN,107.32,0.24,99.81
FOXF,103.98,0.98,99.16
FRHC,3.54,68.03,30.98
FROG,89.26,10.83,88.72
FRSH,83.5,7.35,89.38
FSLR,97.95,5.4,94.56
FSLY,91.79,4.37,93.67
FTAI,97.43,1.14,98.83
FTNT,74.18,17.39,84.3
FUBO,46.9,4.05,99.09
FULC,133.57,3.83,63.01
FVRR,53.68,12.52,85.01
FWONA,95.55,1.85,1011.39
FWONK,101.42,1.4,108.21
GDDY,103.91,0.96,99.25
GEN,90.84,9.7,75.93
GERN,79.92,0.08,83.5
GEVO,37.11,4.41,92.77
GFS,103.66,0.03,22.77
GH,106.07,4.02,96.41
GILT,54.03,6.86,97.51
GKOS,102.72,3.62,96.3
GLBE,69.32,30.64,63.17
GLW,73.67,8.17,91.76
GLXY,84.72,2.18,98.07
GM,91.53,0.18,96.7
GME,37.22,8.83,91.11
GMED,102.01,0.73,98.58
GNRC,93.93,1.72,98.18
GOGO,72.1,24.92,71.01
GOLD,60.36,33.1,66.97
GOOG,61.34,6.6,197.7
GOOGL,81.11,1.17,186.24
GRAB,66.79,19.14,70.06
GRAL,83.5,5.23,77.93
GRMN,58.57,14.7,85.36
