month,ticker,window_start,window_end,z_win,ret_2w_pct,mcap_at_start,turnover_min,turnover_median,turnover_thresh,sigma_d_pct,end_vs_high,up_day_ratio,max_day_contrib,run_days,sector,industry,mcap_bucket,market_cap_now,inst_pct,float_pct
2026-02,CRCL,2026-02-25,2026-03-10,4.245,92.423,20553073078.0,1609991488.0,2698835134.0,30000000.0,4.876,0.97,0.8,0.464,1,Financial Services,Financial - Capital Markets,10B-100B,32572442973.0,64.18,83.16
2026-02,NKTR,2026-02-10,2026-02-24,4.152,84.57,1859886400.0,64125621.0,102917804.0,30000000.0,4.667,0.904,0.6,0.673,1,Healthcare,Biotechnology,1B-10B,2614468882.0,80.43,86.25
2026-02,ZD,2026-02-26,2026-03-11,4.122,51.714,1046194693.0,33595096.0,45756419.0,30000000.0,3.198,0.806,0.6,0.942,2,Communication Services,Advertising Agencies,1B-10B,1585183605.0,116.52,90.17
2026-02,DNTH,2026-02-26,2026-03-11,4.12,65.491,2903323607.0,33974732.0,68370244.0,30000000.0,3.867,0.975,0.8,0.387,1,Healthcare,Biotechnology,1B-10B,4762522174.0,121.52,99.87
2026-02,RRX,2026-02-02,2026-02-13,4.029,36.341,11324815697.0,220517128.0,330222664.0,30000000.0,2.433,0.96,0.9,0.371,1,Industrials,Industrial - Machinery,10B-100B,14068147786.0,107.13,99.51
2026-01,CRVS,2026-01-20,2026-02-02,7.816,160.621,1800375991.0,47404160.0,100649042.0,30000000.0,3.875,0.778,0.5,1.021,1,Healthcare,Biotechnology,1B-10B,1329469613.0,85.57,86.52
2026-01,ERAS,2026-01-07,2026-01-21,7.641,176.86,1606833710.0,35978935.0,92540104.0,30000000.0,4.214,0.964,0.9,0.347,1,Healthcare,Biotechnology,1B-10B,3244747375.0,85.32,71.34
2026-01,IBRX,2026-01-12,2026-01-26,7.353,166.524,2712646943.0,43737848.0,394852031.0,30000000.0,4.216,0.75,0.8,0.341,4,Healthcare,Biotechnology,1B-10B,8494041200.0,17.7,37.63
2026-01,DVA,2026-01-30,2026-02-12,6.849,39.845,7019627451.0,120539458.0,273516704.0,30000000.0,1.548,0.982,0.8,0.573,10,Healthcare,Medical - Care Facilities,1B-10B,12771305001.0,52.97,53.24
2026-01,ALMS,2026-01-06,2026-01-20,6.537,213.598,2064445073.0,37704503.0,101148411.0,30000000.0,5.529,0.991,0.8,0.586,1,Healthcare,Biotechnology,1B-10B,3009536071.0,100.3,69.55
2026-01,RVMD,2026-01-02,2026-01-15,6.445,54.765,16799372459.0,109176640.0,456653404.0,30000000.0,2.143,0.993,0.7,0.576,9,Healthcare,Biotechnology,10B-100B,30645780056.0,97.53,91.31
2026-01,ARW,2026-01-26,2026-02-06,6.291,35.951,6020510645.0,47925125.0,108310102.0,30000000.0,1.544,0.987,0.9,0.381,3,Technology,Technology Distributors,1B-10B,10357691831.0,110.38,99.41
2026-01,IPGP,2026-01-30,2026-02-12,5.816,61.96,3922214731.0,42322554.0,67085538.0,30000000.0,2.622,0.974,0.7,0.63,4,Technology,Semiconductors,1B-10B,4392065581.0,72.34,64.86
2026-01,CGNX,2026-01-30,2026-02-12,5.779,50.09,6447089808.0,59781089.0,92440256.0,30000000.0,2.222,0.98,0.5,0.764,6,Technology,"Hardware, Equipment & Parts",1B-10B,11193372754.0,104.86,95.37
2026-01,AVT,2026-01-26,2026-02-06,5.74,31.064,4214396959.0,64785042.0,127729707.0,30000000.0,1.49,0.996,0.8,0.478,5,Technology,Technology Distributors,1B-10B,6796514831.0,107.72,99.19
2026-01,BKD,2026-01-16,2026-01-30,5.503,33.333,2913235396.0,45688947.0,77599289.0,30000000.0,1.653,0.996,0.8,0.35,4,Healthcare,Medical - Care Facilities,1B-10B,3058897165.0,112.6,98.62
2026-01,ENSG,2026-01-30,2026-02-12,5.207,26.079,10032737226.0,54736080.0,96421085.0,30000000.0,1.407,0.988,0.9,0.56,1,Healthcare,Medical - Care Facilities,10B-100B,9901235078.0,94.9,95.55
2026-01,SLAB,2026-01-28,2026-02-10,5.028,46.908,4757298078.0,39440500.0,167145866.0,30000000.0,2.419,0.988,0.7,1.035,6,Technology,Semiconductors,1B-10B,7163981667.0,94.02,98.11
2026-01,RRX,2026-01-28,2026-02-10,4.604,44.084,10434114816.0,118793246.0,295693939.0,30000000.0,2.509,0.997,0.9,0.314,3,Industrials,Industrial - Machinery,10B-100B,14068147786.0,107.13,99.51
2026-01,CHTR,2026-01-28,2026-02-10,4.451,35.63,25316359561.0,452308502.0,643391716.0,30000000.0,2.165,0.996,0.7,0.241,2,Communication Services,Telecommunications Services,10B-100B,20466630816.0,84.96,64.37
2026-01,LBRDK,2026-01-28,2026-02-10,4.444,35.456,6106457567.0,60726488.0,87329563.0,30000000.0,2.159,0.997,0.8,0.251,2,Communication Services,Telecommunications Services,1B-10B,4944552322.0,88.73,104.66
2026-01,GOLD,2026-01-27,2026-02-09,4.421,45.442,1293941090.0,31947075.0,68463670.0,30000000.0,2.68,0.962,0.5,0.396,1,Financial Services,Financial - Capital Markets,1B-10B,1097383470.0,60.36,66.97
2026-01,ESE,2026-01-29,2026-02-11,4.34,26.957,5954989025.0,36338731.0,63482563.0,30000000.0,1.739,0.997,0.8,0.254,1,Technology,"Hardware, Equipment & Parts",1B-10B,7713052187.0,99.23,99.41
2026-01,GLW,2026-01-27,2026-02-09,4.194,38.378,94446395313.0,1119970863.0,1374499301.0,30000000.0,2.449,0.993,0.7,0.446,1,Technology,"Hardware, Equipment & Parts",10B-100B,178487679278.0,73.67,91.76
2025-12,CAPR,2025-12-03,2025-12-16,7.087,309.119,1732889442.0,33219360.0,54593855.0,30000000.0,6.286,0.645,0.5,1.1,1,Healthcare,Biotechnology,1B-10B,1845099239.0,59.66,83.83
2025-12,RVMD,2025-12-31,2026-01-14,6.188,52.153,16933308231.0,67298754.0,456653404.0,30000000.0,2.145,0.993,0.6,0.6,9,Healthcare,Biotechnology,10B-100B,30645780056.0,97.53,91.31
2025-12,WVE,2025-12-08,2025-12-19,5.764,113.351,3562877321.0,55271771.0,117311374.0,30000000.0,4.157,0.735,0.4,1.195,1,Healthcare,Biotechnology,1B-10B,1360126494.0,82.68,46.83
2025-12,SATS,2025-12-05,2025-12-18,4.772,37.705,23764226477.0,312373344.0,883684480.0,30000000.0,2.12,0.924,0.7,0.331,3,Technology,Communication Equipment,10B-100B,37425758625.0,112.19,86.18
2025-12,MIDD,2025-12-03,2025-12-16,4.48,25.567,5589958725.0,43619620.0,136978776.0,30000000.0,1.607,0.982,0.8,0.389,1,Industrials,Industrial - Machinery,1B-10B,7284662643.0,109.18,83.31
2025-11,BDX,2025-11-06,2025-11-19,8.389,37.883,30207496495.0,314080262.0,555306838.0,30000000.0,1.211,0.979,0.8,0.749,10,Healthcare,Medical - Instruments & Supplies,10B-100B,39443611450.0,99.19,99.69
2025-11,JAZZ,2025-11-11,2025-11-24,7.063,35.821,8602667896.0,114548840.0,236226264.0,30000000.0,1.371,0.989,0.6,0.611,7,Healthcare,Biotechnology,1B-10B,14029921729.0,107.92,96.9
2025-11,HAE,2025-11-06,2025-11-19,6.887,48.245,3118692347.0,62982603.0,90808156.0,30000000.0,1.808,0.992,0.9,0.711,2,Healthcare,Medical - Instruments & Supplies,1B-10B,2427663362.0,110.24,98.7
2025-11,OLMA,2025-11-18,2025-12-02,5.66,218.662,1755341120.0,31129344.0,118241823.0,30000000.0,6.475,0.92,0.7,0.742,1,Healthcare,Biotechnology,1B-10B,1295152386.0,119.24,73.48
2025-11,GMED,2025-11-06,2025-11-19,5.483,36.271,8334257242.0,101753380.0,177972437.0,30000000.0,1.785,0.962,0.5,0.992,10,Healthcare,Medical - Devices,1B-10B,10356033793.0,102.01,98.58
2025-11,INSP,2025-11-20,2025-12-04,4.855,67.841,2399271102.0,63312249.0,192004023.0,30000000.0,3.373,0.982,0.7,0.514,5,Healthcare,Medical - Devices,1B-10B,1249050105.0,123.02,88.38
2025-11,AMTM,2025-11-18,2025-12-02,4.48,33.644,5315347403.0,35736145.0,76959652.0,30000000.0,2.047,0.901,0.5,0.578,2,Industrials,Aerospace & Defense,1B-10B,5839808023.0,107.23,62.35
2025-11,ARWR,2025-11-24,2025-12-08,4.34,69.592,6234331467.0,133894890.0,192427838.0,30000000.0,3.849,0.959,0.7,0.397,1,Healthcare,Biotechnology,1B-10B,10950224317.0,89.02,87.16
2025-11,MDB,2025-11-24,2025-12-08,4.177,30.366,26572575199.0,398719361.0,898715778.0,30000000.0,2.008,0.986,0.7,0.757,1,Technology,Software - Infrastructure,10B-100B,23680879782.0,94.15,97.38
2025-11,TDC,2025-11-03,2025-11-14,4.139,30.647,2031618977.0,34299678.0,41659294.0,30000000.0,2.042,0.931,0.6,1.055,1,Technology,Software - Infrastructure,1B-10B,3040370965.0,117.98,91.73
2025-11,MDGL,2025-11-04,2025-11-17,4.068,34.211,10251468096.0,139401323.0,216937662.0,30000000.0,2.287,0.997,0.8,0.299,1,Healthcare,Biotechnology,10B-100B,11459354057.0,107.07,60.07
2025-10,TMQ,2025-10-06,2025-10-17,9.335,210.577,366890377.0,88666793.0,219355988.0,30000000.0,3.839,0.572,0.5,1.001,2,Basic Materials,Industrial Materials,300M-1B,839108134.0,41.72,61.88
2025-10,NKLR,2025-10-06,2025-10-17,9.031,28.53,1361371235.0,41138400.0,67945907.0,30000000.0,0.879,0.602,0.6,0.759,1,Energy,Regulated Electric,1B-10B,669635526.0,9.4,57.04
2025-10,PRAX,2025-10-16,2025-10-29,9.01,241.343,4536154961.0,91639915.0,167380029.0,30000000.0,4.309,0.951,0.5,0.849,1,Healthcare,Biotechnology,1B-10B,9250455274.0,117.55,86.21
2025-10,GTX,2025-10-23,2025-11-05,7.287,39.568,2794724411.0,45367014.0,89628124.0,30000000.0,1.447,0.989,0.7,0.53,3,Consumer Cyclical,Auto - Parts,1B-10B,5454673096.0,98.53,98.87
2025-10,FLS,2025-10-21,2025-11-03,6.885,40.25,6662579805.0,62743668.0,161783992.0,30000000.0,1.554,0.997,0.6,0.797,10,Industrials,Industrial - Machinery,1B-10B,9044902605.0,105.79,99.29
2025-10,CRML,2025-10-01,2025-10-14,6.67,381.833,865510357.0,40719288.0,473167280.0,30000000.0,7.455,0.932,0.8,0.28,2,Basic Materials,Industrial Materials,300M-1B,1475884375.0,15.97,46.4
2025-10,UAMY,2025-10-01,2025-10-14,5.631,181.774,1079947095.0,62116111.0,193074365.0,30000000.0,5.818,0.886,0.9,0.303,2,Basic Materials,Industrial Materials,1B-10B,1523369081.0,60.15,87.92
2025-10,VIAV,2025-10-23,2025-11-05,5.23,31.822,3139043525.0,31149162.0,85365810.0,30000000.0,1.67,0.969,0.7,0.729,6,Technology,Communication Equipment,1B-10B,12848558928.0,97.39,93.84
2025-10,GMED,2025-10-31,2025-11-13,4.783,38.323,8155984360.0,69910474.0,156507211.0,30000000.0,2.145,0.964,0.5,0.946,10,Healthcare,Medical - Devices,1B-10B,10356033793.0,102.01,98.58
2025-10,LAES,2025-10-01,2025-10-14,4.704,104.545,918789303.0,64260682.0,237634208.0,30000000.0,4.811,0.959,0.8,0.467,2,Technology,Semiconductors,300M-1B,704635405.0,11.55,77.0
2025-10,AMD,2025-10-02,2025-10-15,4.624,45.479,276761838936.0,7031268536.0,23220630082.0,30000000.0,2.564,0.994,0.7,0.568,1,Technology,Semiconductors,100B+,748103246835.0,74.12,99.47
2025-10,ISRG,2025-10-13,2025-10-24,4.509,27.217,154319374219.0,811869129.0,1228490838.0,30000000.0,1.688,0.989,0.7,0.54,2,Healthcare,Medical - Instruments & Supplies,100B+,148769642518.0,91.52,98.03
2025-10,ASTS,2025-10-01,2025-10-14,4.428,92.543,22096656105.0,1131734499.0,1462922312.0,30000000.0,4.679,0.953,0.9,0.229,2,Technology,Communication Equipment,10B-100B,32035106453.0,48.63,89.03
2025-10,CAH,2025-10-29,2025-11-11,4.194,25.812,38519835909.0,402716879.0,511282673.0,30000000.0,1.731,0.987,0.8,0.625,3,Healthcare,Medical - Distribution,10B-100B,42742567358.0,90.2,99.8
2025-10,KEEL,2025-10-02,2025-10-15,4.123,131.071,1657282551.0,172638241.0,465092919.0,30000000.0,6.424,0.98,1.0,0.298,1,Technology,Information Technology Services,1B-10B,2432189354.0,50.09,95.42
2025-10,NVTS,2025-10-02,2025-10-15,4.095,107.671,1916448035.0,266636194.0,668570234.0,30000000.0,5.644,0.982,0.7,0.317,1,Technology,Semiconductors,1B-10B,5293603415.0,51.88,88.92
2025-09,QURE,2025-09-24,2025-10-07,13.467,324.012,2970146840.0,118924450.0,288963432.0,30000000.0,3.392,0.954,0.6,0.863,1,Healthcare,Biotechnology,1B-10B,1728312814.0,86.44,82.21
2025-09,MLYS,2025-09-02,2025-09-15,8.243,133.915,2380895248.0,47053930.0,78325571.0,30000000.0,3.26,0.924,0.7,0.733,1,Healthcare,Biotechnology,1B-10B,2452668598.0,106.92,70.23
2025-09,LAC,2025-09-24,2025-10-07,7.654,169.381,2096416712.0,279450878.0,702390738.0,30000000.0,4.094,0.872,0.4,0.678,2,Basic Materials,Industrial Materials,1B-10B,2019676001.0,32.63,95.36
2025-09,ORBS,2025-09-08,2025-09-19,6.884,782.069,16939949309.0,30110435.0,142873767.0,30000000.0,10.001,0.154,0.4,1.579,1,Consumer Cyclical,Packaging & Containers,10B-100B,338423197.0,24.49,69.2
2025-09,SNDK,2025-09-03,2025-09-16,6.192,79.264,7850238401.0,89570997.0,530982958.0,30000000.0,2.981,0.983,1.0,0.282,10,Technology,"Hardware, Equipment & Parts",1B-10B,229177795511.0,81.68,98.59
2025-09,CIEN,2025-09-03,2025-09-16,5.67,46.896,13407398039.0,260526064.0,446868554.0,30000000.0,2.145,0.994,0.8,0.545,3,Technology,Communication Equipment,10B-100B,82218938383.0,97.8,99.52
2025-09,KEEL,2025-09-09,2025-09-22,5.599,139.844,899344455.0,165373425.0,319884703.0,30000000.0,4.941,0.853,0.8,0.248,1,Technology,Information Technology Services,300M-1B,2432189354.0,50.09,95.42
2025-09,WBD,2025-09-02,2025-09-15,5.565,67.182,29132929328.0,531154692.0,776485280.0,30000000.0,2.92,0.993,0.7,0.495,9,Communication Services,Entertainment,10B-100B,68294405757.0,77.46,94.98
2025-09,UAMY,2025-09-30,2025-10-13,5.255,161.502,886843972.0,40226425.0,157366693.0,30000000.0,5.785,0.968,0.8,0.326,2,Basic Materials,Industrial Materials,300M-1B,1523369081.0,60.15,87.92
2025-09,PATH,2025-09-26,2025-10-09,5.184,52.471,6397089681.0,141609162.0,482459307.0,30000000.0,2.573,0.988,0.8,0.409,2,Technology,Software - Infrastructure,1B-10B,5585010319.0,83.38,90.43
2025-09,IONS,2025-09-02,2025-09-15,5.181,43.293,9500944344.0,92939751.0,182522829.0,30000000.0,2.196,0.944,0.5,0.831,9,Healthcare,Biotechnology,1B-10B,12457491471.0,107.19,99.21
2025-09,PL,2025-09-08,2025-09-19,4.718,70.138,3343799500.0,77337975.0,194981744.0,30000000.0,3.562,0.974,0.7,0.737,3,Industrials,Aerospace & Defense,1B-10B,14482874851.0,82.23,88.57
2025-09,HIVE,2025-09-26,2025-10-09,4.578,94.413,894058760.0,98673386.0,262913382.0,30000000.0,4.593,0.996,0.9,0.338,2,Financial Services,Information Technology Services,300M-1B,764521837.0,38.44,98.88
2025-09,AMD,2025-09-25,2025-10-08,4.539,46.42,262966957905.0,4800201062.0,6787240144.0,30000000.0,2.656,0.999,0.8,0.558,2,Technology,Semiconductors,100B+,748103246835.0,74.12,99.47
2025-09,IONQ,2025-09-09,2025-09-22,4.313,75.421,16423877391.0,632899800.0,2308126542.0,30000000.0,4.121,0.983,0.9,0.297,3,Technology,Computer Hardware,10B-100B,21235326926.0,56.38,99.26
2025-09,OKLO,2025-09-09,2025-09-22,4.257,98.388,12838883525.0,799029625.0,1764939244.0,30000000.0,5.089,0.982,0.8,0.37,2,Utilities,Regulated Electric,10B-100B,13560929699.0,55.31,84.21
2025-09,ASTS,2025-09-30,2025-10-13,4.169,85.299,19046432765.0,371811920.0,1279729138.0,30000000.0,4.679,0.983,0.9,0.243,2,Technology,Communication Equipment,10B-100B,32035106453.0,48.63,89.03
2025-08,IONS,2025-08-26,2025-09-09,6.185,53.993,6969121986.0,46785892.0,182522829.0,30000000.0,2.208,0.995,0.7,0.692,9,Healthcare,Biotechnology,1B-10B,12457491471.0,107.19,99.21
2025-08,SNDK,2025-08-28,2025-09-11,5.971,74.03,7533326306.0,89570997.0,268408866.0,30000000.0,2.934,0.981,0.9,0.297,10,Technology,"Hardware, Equipment & Parts",1B-10B,229177795511.0,81.68,98.59
2025-08,PSKY,2025-08-12,2025-08-25,5.837,57.708,12277328644.0,127057621.0,233558810.0,30000000.0,2.468,0.91,0.4,0.687,4,Communication Services,Entertainment,10B-100B,12198986529.0,31.48,49.13
2025-08,DORM,2025-08-04,2025-08-15,5.385,27.995,3725188470.0,33060124.0,49866485.0,30000000.0,1.449,0.968,0.7,0.269,1,Consumer Cyclical,Auto - Parts,1B-10B,3616116290.0,93.79,88.1
2025-08,VISN,2025-08-04,2025-08-15,5.091,98.973,3273015345.0,73659146.0,167860775.0,30000000.0,4.273,0.978,0.6,0.904,5,Technology,Communication Equipment,1B-10B,2709091268.0,100.01,95.26
2025-08,WBD,2025-08-29,2025-09-12,4.904,56.468,29183072063.0,531154692.0,762639454.0,30000000.0,2.887,0.976,0.6,0.568,9,Communication Services,Entertainment,10B-100B,68294405757.0,77.46,94.98
2025-08,BLBD,2025-08-06,2025-08-19,4.854,30.796,1396880385.0,30107480.0,44752161.0,30000000.0,1.749,0.944,0.6,0.633,2,Consumer Cyclical,Auto - Manufacturers,1B-10B,2226653916.0,112.51,98.84
2025-08,ANIP,2025-08-08,2025-08-21,4.776,32.068,1854571220.0,35912706.0,78817641.0,30000000.0,1.842,0.996,0.9,0.597,3,Healthcare,Drug Manufacturers - Specialty & Generic,1B-10B,1791523082.0,110.38,85.41
2025-08,P,2025-08-22,2025-09-05,4.756,42.168,19275787992.0,100689249.0,318805426.0,30000000.0,2.339,0.982,0.7,0.796,4,Technology,Computer Hardware,10B-100B,28862459633.0,85.69,94.52
2025-08,MDB,2025-08-15,2025-08-28,4.735,55.649,17541451964.0,326660034.0,481317975.0,30000000.0,2.955,0.989,0.5,0.727,1,Technology,Software - Infrastructure,10B-100B,23680879782.0,94.15,97.38
2025-08,TVTX,2025-08-28,2025-09-11,4.395,43.349,1645974354.0,34331412.0,54980099.0,30000000.0,2.591,0.871,0.7,0.646,1,Healthcare,Biotechnology,1B-10B,4046121137.0,114.05,93.54
2025-08,SATS,2025-08-26,2025-09-09,4.351,179.685,14742514645.0,296855559.0,622200374.0,30000000.0,7.475,0.979,0.8,0.517,2,Technology,Communication Equipment,10B-100B,37425758625.0,112.19,86.18
2025-08,CIEN,2025-08-28,2025-09-11,4.188,42.873,13841491183.0,209618973.0,377145330.0,30000000.0,2.694,0.987,0.7,0.587,2,Technology,Communication Equipment,10B-100B,82218938383.0,97.8,99.52
2025-08,UI,2025-08-22,2025-09-05,4.173,47.746,30879523784.0,79778317.0,140582176.0,30000000.0,2.958,1.0,0.8,0.685,1,Technology,Communication Equipment,10B-100B,44701262297.0,4.76,6.96
2025-08,GH,2025-08-01,2025-08-14,4.172,47.291,5492288286.0,100197211.0,135486895.0,30000000.0,2.935,0.995,0.9,0.316,1,Healthcare,Medical - Diagnostics & Research,1B-10B,12823737327.0,106.07,96.41
2025-08,CYTK,2025-08-28,2025-09-11,4.17,40.946,4647556478.0,80745583.0,123509711.0,30000000.0,2.603,0.983,0.5,0.99,1,Healthcare,Biotechnology,1B-10B,9277692397.0,119.0,91.23
2025-08,MIRM,2025-08-06,2025-08-19,4.077,25.694,3255787867.0,32647985.0,67839747.0,30000000.0,1.774,0.941,0.6,0.497,1,Healthcare,Biotechnology,1B-10B,6474377184.0,114.54,86.03
2025-08,RDNT,2025-08-11,2025-08-22,4.015,31.372,4852833809.0,42469590.0,64753038.0,30000000.0,2.149,0.986,0.7,0.55,1,Healthcare,Medical - Diagnostics & Research,1B-10B,4375377579.0,100.65,84.24
2025-07,OPEN,2025-07-08,2025-07-21,7.289,413.107,705994301.0,49717982.0,145657292.0,30000000.0,7.095,0.646,0.9,0.22,8,Real Estate,Real Estate - Services,300M-1B,4678972886.0,49.86,98.35
2025-07,EBAY,2025-07-31,2025-08-13,6.774,29.925,40737000924.0,437644517.0,595633608.0,30000000.0,1.222,0.998,0.8,0.642,1,Consumer Cyclical,Specialty Retail,10B-100B,48009721088.0,95.76,89.81
2025-07,COUR,2025-07-24,2025-08-06,5.557,41.741,1537244083.0,33338387.0,55158422.0,30000000.0,1.985,0.937,0.6,0.886,2,Consumer Defensive,Education & Training Services,1B-10B,958238052.0,70.03,51.42
2025-07,IDXX,2025-07-22,2025-08-04,5.334,31.085,41965756623.0,264411444.0,405275638.0,30000000.0,1.605,0.992,0.8,0.897,1,Healthcare,Medical - Diagnostics & Research,10B-100B,41965756623.0,98.3,99.62
2025-07,TLN,2025-07-18,2025-07-31,5.012,43.019,14918161319.0,264094718.0,466359635.0,30000000.0,2.258,0.992,0.8,0.612,2,Utilities,Independent Power Producers,10B-100B,17406261681.0,109.0,75.54
2025-07,VISN,2025-07-31,2025-08-13,4.734,87.685,1849670974.0,33870100.0,139342000.0,30000000.0,4.206,0.962,0.6,0.988,5,Technology,Communication Equipment,1B-10B,2709091268.0,100.01,95.26
2025-07,GNRC,2025-07-23,2025-08-05,4.597,31.266,9002198522.0,80445232.0,216058326.0,30000000.0,1.871,0.987,0.7,0.658,3,Industrials,Industrial - Machinery,1B-10B,15976959711.0,93.93,98.18
2025-07,FIX,2025-07-23,2025-08-05,4.462,29.938,19287761680.0,186697593.0,313887128.0,30000000.0,1.856,0.962,0.7,0.771,3,Industrials,Engineering & Construction,10B-100B,71565829681.0,96.88,102.1
